time_s,distance_m,throughput_mbps
1,1.5,57.7542
1.5,1.75,59.5718
2,2,58.6176
2.5,2.25,59.231
3,2.5,59.481
3.5,2.75,59.4128
4,3,59.4582
4.5,3.25,59.5264
5,3.5,59.5491
5.5,3.75,59.6173
6,4,59.5491
6.5,4.25,59.5264
7,4.5,59.5491
7.5,4.75,59.4355
8,5,59.4582
8.5,5.25,59.5037
9,5.5,59.4582
9.5,5.75,59.5037
10,6,59.5946
10.5,6.25,59.4582
11,6.5,59.4582
11.5,6.75,59.5264
12,7,59.5037
12.5,7.25,59.5718
13,7.5,59.5718
13.5,7.75,59.481
14,8,59.4355
14.5,8.25,59.6173
15,8.5,59.4582
15.5,8.75,59.481
16,9,59.4582
16.5,9.25,59.5037
17,9.5,59.5718
17.5,9.75,59.4128
18,10,58.7994
18.5,10.25,57.2771
19,10.5,53.2557
19.5,10.75,51.4381
20,11,52.5514
20.5,11.25,51.2563
21,11.5,44.8266
21.5,11.75,46.7578
22,12,46.6669
22.5,12.25,45.6672
23,12.5,44.0541
23.5,12.75,40.8506
24,13,34.239
24.5,13.25,23.129
25,13.5,30.831
25.5,13.75,35.1251
26,14,34.8752
26.5,14.25,35.1251
27,14.5,35.2387
27.5,14.75,35.0342
28,15,35.1251
28.5,15.25,35.1251
29,15.5,34.807
29.5,15.75,35.1478
30,16,35.5341
30.5,16.25,35.1478
31,16.5,34.7843
31.5,16.75,35.1024
32,17,34.9434
32.5,17.25,34.6026
33,17.5,34.5117
33.5,17.75,33.0576
34,18,32.9894
34.5,18.25,30.4448
35,18.5,27.6957
35.5,18.75,23.4243
36,19,17.7898
36.5,19.25,11.3827
37,19.5,6.0208
37.5,19.75,10.6102
38,20,11.3827
38.5,20.25,11.2918
39,20.5,11.4509
39.5,20.75,11.8371
40,21,11.36
40.5,21.25,11.3827
41,21.5,11.5418
41.5,21.75,11.36
42,22,11.519
42.5,22.25,11.3827
43,22.5,11.5418
43.5,22.75,11.2464
44,23,11.6099
44.5,23.25,11.2691
45,23.5,11.4963
45.5,23.75,11.5872
46,24,11.2464
46.5,24.25,11.519
47,24.5,11.5418
47.5,24.75,11.2464
48,25,11.3146
48.5,25.25,11.4736
49,25.5,11.3827
49.5,25.75,11.4736
50,26,11.4054
50.5,26.25,11.4736
51,26.5,11.519
51.5,26.75,11.2691
52,27,11.5872
52.5,27.25,11.2918
53,27.5,11.4509
53.5,27.75,11.4054
54,28,11.4963
54.5,28.25,11.36
55,28.5,11.5872
55.5,28.75,11.2918
56,29,11.4736
56.5,29.25,11.4054
57,29.5,11.4736
57.5,29.75,11.3373
58,30,11.2918
58.5,30.25,11.5645
59,30.5,11.4282
59.5,30.75,11.2918
60,31,11.519
60.5,31.25,11.2691
61,31.5,11.4282
61.5,31.75,11.4054
62,32,11.4054
62.5,32.25,11.3373
63,32.5,11.4054
63.5,32.75,11.2691
64,33,11.3827
64.5,33.25,11.2691
65,33.5,11.2691
65.5,33.75,11.3827
66,34,11.2691
66.5,34.25,11.2691
67,34.5,11.36
67.5,34.75,11.2464
68,35,11.2464
68.5,35.25,11.36
69,35.5,11.2464
69.5,35.75,11.2237
70,36,11.2237
70.5,36.25,11.2918
71,36.5,11.201
71.5,36.75,11.0192
72,37,10.8147
72.5,37.25,10.951
73,37.5,10.7466
73.5,37.75,10.4966
74,38,10.224
74.5,38.25,9.38336
75,38.5,9.11072
75.5,38.75,8.61088
76,39,7.4976
76.5,39.25,6.90688
77,39.5,5.88448
77.5,39.75,5.02112
78,40,4.97568
78.5,40.25,5.04384
79,40.5,5.38464
79.5,40.75,5.38464
