time_s,distance_m,throughput_mbps
1,1.5,58.9357
1.5,1.75,59.5946
2,2,59.4582
2.5,2.25,59.481
3,2.5,59.5718
3.5,2.75,59.4582
4,3,59.5037
4.5,3.25,59.5491
5,3.5,59.4355
5.5,3.75,59.4355
6,4,59.5718
6.5,4.25,59.5718
7,4.5,59.4582
7.5,4.75,59.5037
8,5,59.481
8.5,5.25,59.5037
9,5.5,59.5264
9.5,5.75,59.4582
10,6,59.481
10.5,6.25,59.5718
11,6.5,59.5264
11.5,6.75,59.5037
12,7,59.4582
12.5,7.25,59.5037
13,7.5,59.481
13.5,7.75,59.5037
14,8,59.4582
14.5,8.25,59.481
15,8.5,59.5264
15.5,8.75,59.481
16,9,59.5037
16.5,9.25,59.3674
17,9.5,59.4128
17.5,9.75,59.2083
18,10,58.8448
18.5,10.25,57.2317
19,10.5,53.7328
19.5,10.75,53.4147
20,11,52.6195
20.5,11.25,50.9382
21,11.5,48.0074
21.5,11.75,47.4166
22,12,47.1213
22.5,12.25,46.5306
23,12.5,44.6448
23.5,12.75,40.0326
24,13,35.6477
24.5,13.25,35.6704
25,13.5,35.6931
25.5,13.75,35.625
26,14,35.6022
26.5,14.25,35.7386
27,14.5,35.6477
27.5,14.75,35.6704
28,15,35.6704
28.5,15.25,35.6477
29,15.5,35.6931
29.5,15.75,35.6931
30,16,35.6931
30.5,16.25,35.6704
31,16.5,35.5795
31.5,16.75,35.6022
32,17,35.6022
32.5,17.25,35.3978
33,17.5,34.9434
33.5,17.75,34.4208
34,18,33.4211
34.5,18.25,31.4899
35,18.5,25.5373
35.5,18.75,23.7878
36,19,23.7878
36.5,19.25,23.7424
37,19.5,23.7424
37.5,19.75,23.7651
38,20,23.7424
38.5,20.25,23.7651
39,20.5,23.7651
39.5,20.75,23.697
40,21,23.7424
40.5,21.25,23.7424
41,21.5,23.6061
41.5,21.75,23.6288
42,22,23.2653
42.5,22.25,23.1062
43,22.5,22.5382
43.5,22.75,22.2883
44,23,21.2205
44.5,23.25,19.5392
45,23.5,17.767
45.5,23.75,17.7443
46,24,17.7898
46.5,24.25,17.7443
47,24.5,17.767
47.5,24.75,17.7443
48,25,17.7443
48.5,25.25,17.7443
49,25.5,17.767
49.5,25.75,17.767
50,26,17.7443
50.5,26.25,17.7443
51,26.5,17.7443
51.5,26.75,17.767
52,27,17.7216
52.5,27.25,17.767
53,27.5,17.767
53.5,27.75,17.7216
54,28,17.6989
54.5,28.25,17.7443
55,28.5,17.6762
55.5,28.75,17.5626
56,29,17.4717
56.5,29.25,17.3808
57,29.5,17.2218
57.5,29.75,16.881
58,30,16.5174
58.5,30.25,16.1312
59,30.5,15.4723
59.5,30.75,14.7453
60,31,13.7002
60.5,31.25,11.769
61,31.5,11.8371
61.5,31.75,11.7917
62,32,11.7917
62.5,32.25,11.8144
63,32.5,11.8144
63.5,32.75,11.8144
64,33,11.7917
64.5,33.25,11.7917
65,33.5,11.8144
65.5,33.75,11.8144
66,34,11.7917
66.5,34.25,11.8144
67,34.5,11.8144
67.5,34.75,11.769
68,35,11.7917
68.5,35.25,11.7917
69,35.5,11.769
69.5,35.75,11.769
70,36,11.769
70.5,36.25,11.6781
71,36.5,11.5872
71.5,36.75,11.4509
72,37,11.6781
72.5,37.25,11.2691
73,37.5,11.0192
73.5,37.75,10.5875
74,38,10.3603
74.5,38.25,10.2013
75,38.5,8.90624
75.5,38.75,8.56544
76,39,7.65664
76.5,39.25,6.56608
77,39.5,5.7936
77.5,39.75,5.81632
78,40,5.7936
78.5,40.25,5.81632
79,40.5,5.81632
79.5,40.75,5.7936
