time_s,distance_m,throughput_mbps
1,1.5,55.823
1.5,1.75,59.6173
2,2,59.1174
2.5,2.25,59.5037
3,2.5,59.5037
3.5,2.75,59.5491
4,3,59.5264
4.5,3.25,59.5264
5,3.5,59.5264
5.5,3.75,59.5264
6,4,59.481
6.5,4.25,59.5264
7,4.5,59.481
7.5,4.75,59.5037
8,5,59.5037
8.5,5.25,59.4355
9,5.5,59.5491
9.5,5.75,59.5718
10,6,59.5491
10.5,6.25,59.5264
11,6.5,59.5491
11.5,6.75,59.481
12,7,59.5491
12.5,7.25,59.6173
13,7.5,59.481
13.5,7.75,59.5491
14,8,59.5037
14.5,8.25,59.5491
15,8.5,59.4582
15.5,8.75,59.5491
16,9,59.5264
16.5,9.25,59.5037
17,9.5,59.4128
17.5,9.75,58.8902
18,10,58.9357
18.5,10.25,57.4589
19,10.5,54.0963
19.5,10.75,50.143
20,11,52.2787
20.5,11.25,50.3021
21,11.5,45.0083
21.5,11.75,46.3942
22,12,46.9622
22.5,12.25,45.4854
23,12.5,43.8269
23.5,12.75,40.1462
24,13,34.489
24.5,13.25,22.0838
25,13.5,17.2445
25.5,13.75,17.1082
26,14,30.3085
26.5,14.25,35.1933
27,14.5,34.8525
27.5,14.75,35.1478
28,15,35.1478
28.5,15.25,34.8752
29,15.5,34.8525
29.5,15.75,34.8752
30,16,35.2614
30.5,16.25,35.1024
31,16.5,34.7843
31.5,16.75,35.1933
32,17,34.8752
32.5,17.25,34.3754
33,17.5,34.489
33.5,17.75,33.5802
34,18,32.944
34.5,18.25,30.6266
35,18.5,27.3094
35.5,18.75,22.8109
36,19,17.4717
36.5,19.25,12.0643
37,19.5,6.67968
37.5,19.75,17.4035
38,20,17.1536
38.5,20.25,17.5853
39,20.5,17.1309
39.5,20.75,17.2899
40,21,17.4262
40.5,21.25,17.2672
41,21.5,17.2672
41.5,21.75,17.4035
42,22,17.5398
42.5,22.25,17.1082
43,22.5,17.2672
43.5,22.75,17.199
44,23,17.5853
44.5,23.25,17.1536
45,23.5,17.199
45.5,23.75,17.3808
46,24,17.2899
46.5,24.25,17.3354
47,24.5,17.1309
47.5,24.75,17.1082
48,25,17.3354
48.5,25.25,17.3126
49,25.5,17.1309
49.5,25.75,17.1082
50,26,17.1309
50.5,26.25,17.2899
51,26.5,17.1309
51.5,26.75,17.1309
52,27,17.3581
52.5,27.25,17.2672
53,27.5,17.1309
53.5,27.75,17.0854
54,28,17.199
54.5,28.25,17.1082
55,28.5,17.1763
55.5,28.75,16.9264
56,29,17.199
56.5,29.25,17.0173
57,29.5,16.7674
57.5,29.75,16.4947
58,30,16.2221
58.5,30.25,15.7677
59,30.5,15.1315
59.5,30.75,13.9955
60,31,12.8822
60.5,31.25,11.6099
61,31.5,10.3149
61.5,31.75,8.7472
62,32,6.88416
62.5,32.25,4.61216
63,32.5,2.1584
63.5,32.75,3.68064
64,33,5.5664
64.5,33.25,8.20192
65,33.5,11.2691
65.5,33.75,11.2691
66,34,11.4054
66.5,34.25,11.2464
67,34.5,11.2691
67.5,34.75,11.3373
68,35,11.2918
68.5,35.25,11.2237
69,35.5,11.36
69.5,35.75,11.201
70,36,11.1328
70.5,36.25,11.1101
71,36.5,11.1328
71.5,36.75,10.9738
72,37,10.951
72.5,37.25,10.9056
73,37.5,10.7238
73.5,37.75,10.2922
74,38,9.83776
74.5,38.25,9.63328
75,38.5,9.24704
75.5,38.75,8.36096
76,39,7.47488
76.5,39.25,7.17952
77,39.5,6.0208
77.5,39.75,4.61216
78,40,4.68032
78.5,40.25,5.38464
79,40.5,5.31648
79.5,40.75,5.40736
