time_s,distance_m,throughput_mbps
1,1.5,58.1632
1.5,1.75,59.5718
2,2,59.5037
2.5,2.25,59.5037
3,2.5,59.4582
3.5,2.75,59.4355
4,3,59.4355
4.5,3.25,59.4582
5,3.5,59.4582
5.5,3.75,59.4355
6,4,59.5491
6.5,4.25,59.5946
7,4.5,59.4128
7.5,4.75,59.5264
8,5,59.481
8.5,5.25,59.5037
9,5.5,59.5718
9.5,5.75,59.3674
10,6,59.5037
10.5,6.25,59.4582
11,6.5,59.4355
11.5,6.75,59.5264
12,7,59.4582
12.5,7.25,59.481
13,7.5,59.5718
13.5,7.75,59.5264
14,8,59.6173
14.5,8.25,59.481
15,8.5,59.5037
15.5,8.75,59.5491
16,9,59.5718
16.5,9.25,59.4355
17,9.5,59.4582
17.5,9.75,59.3674
18,10,58.4586
18.5,10.25,57.4589
19,10.5,53.8691
19.5,10.75,53.1194
20,11,52.4605
20.5,11.25,50.9382
21,11.5,48.4845
21.5,11.75,47.4394
22,12,47.0758
22.5,12.25,46.4624
23,12.5,44.2358
23.5,12.75,39.6237
24,13,35.7158
24.5,13.25,35.6704
25,13.5,35.7386
25.5,13.75,35.6704
26,14,35.7158
26.5,14.25,35.6477
27,14.5,35.7158
27.5,14.75,35.6704
28,15,35.7386
28.5,15.25,35.6931
29,15.5,35.6477
29.5,15.75,35.6931
30,16,35.7158
30.5,16.25,35.6022
31,16.5,35.7158
31.5,16.75,35.5795
32,17,35.4659
32.5,17.25,35.3069
33,17.5,34.8979
33.5,17.75,34.3981
34,18,33.2394
34.5,18.25,31.6035
35,18.5,25.3555
35.5,18.75,23.7878
36,19,23.7878
36.5,19.25,23.7878
37,19.5,23.7651
37.5,19.75,23.7878
38,20,23.7424
38.5,20.25,23.8106
39,20.5,23.7424
39.5,20.75,23.7424
40,21,23.7197
40.5,21.25,23.7197
41,21.5,23.7197
41.5,21.75,23.6061
42,22,23.3562
42.5,22.25,23.129
43,22.5,22.8336
43.5,22.75,22.4928
44,23,21.3795
44.5,23.25,19.7891
45,23.5,17.7216
45.5,23.75,17.7443
46,24,17.767
46.5,24.25,17.767
47,24.5,17.767
47.5,24.75,17.7443
48,25,17.767
48.5,25.25,17.7443
49,25.5,17.7443
49.5,25.75,17.767
50,26,17.7443
50.5,26.25,17.7443
51,26.5,17.767
51.5,26.75,17.7216
52,27,17.7443
52.5,27.25,17.7443
53,27.5,17.7216
53.5,27.75,17.767
54,28,17.7443
54.5,28.25,17.6989
55,28.5,17.6762
55.5,28.75,17.5171
56,29,17.608
56.5,29.25,17.3581
57,29.5,17.3808
57.5,29.75,17.04
58,30,16.7219
58.5,30.25,16.3584
59,30.5,15.8586
59.5,30.75,14.5408
60,31,13.3139
60.5,31.25,11.8144
61,31.5,11.7917
61.5,31.75,11.7917
62,32,11.8144
62.5,32.25,11.7917
63,32.5,11.8144
63.5,32.75,11.7917
64,33,11.8144
64.5,33.25,11.8371
65,33.5,11.8144
65.5,33.75,11.7462
66,34,11.8144
66.5,34.25,11.8144
67,34.5,11.8144
67.5,34.75,11.7462
68,35,11.769
68.5,35.25,11.7917
69,35.5,11.769
69.5,35.75,11.7462
70,36,11.769
70.5,36.25,11.7462
71,36.5,11.7462
71.5,36.75,11.5645
72,37,11.201
72.5,37.25,11.2691
73,37.5,11.0419
73.5,37.75,10.792
74,38,10.1104
74.5,38.25,9.81504
75,38.5,9.2016
75.5,38.75,8.79264
76,39,7.63392
76.5,39.25,6.5888
77,39.5,5.7936
77.5,39.75,5.7936
78,40,5.7936
78.5,40.25,5.7936
79,40.5,5.81632
79.5,40.75,5.7936
