time_s,distance_m,throughput_mbps
1,1.5,58.6403
1.5,1.75,59.5264
2,2,59.5037
2.5,2.25,59.481
3,2.5,59.5946
3.5,2.75,59.481
4,3,59.481
4.5,3.25,59.5491
5,3.5,59.4128
5.5,3.75,59.5264
6,4,59.5264
6.5,4.25,59.4582
7,4.5,59.481
7.5,4.75,59.5037
8,5,59.481
8.5,5.25,59.4128
9,5.5,59.5037
9.5,5.75,59.5037
10,6,59.5037
10.5,6.25,59.481
11,6.5,59.4582
11.5,6.75,59.6854
12,7,59.4128
12.5,7.25,59.4582
13,7.5,59.5264
13.5,7.75,59.64
14,8,59.5264
14.5,8.25,59.5718
15,8.5,59.4582
15.5,8.75,59.481
16,9,59.5264
16.5,9.25,59.5491
17,9.5,59.3901
17.5,9.75,59.2083
18,10,58.5949
18.5,10.25,56.7318
19,10.5,54.2099
19.5,10.75,53.2784
20,11,52.5741
20.5,11.25,51.2109
21,11.5,48.0074
21.5,11.75,47.4394
22,12,46.985
22.5,12.25,46.1898
23,12.5,44.5085
23.5,12.75,39.6464
24,13,35.6931
24.5,13.25,35.7158
25,13.5,35.6477
25.5,13.75,35.6704
26,14,35.7158
26.5,14.25,35.7386
27,14.5,35.6704
27.5,14.75,35.7613
28,15,35.6704
28.5,15.25,35.7158
29,15.5,35.6704
29.5,15.75,35.6931
30,16,35.6477
30.5,16.25,35.6931
31,16.5,35.6477
31.5,16.75,35.5795
32,17,35.4886
32.5,17.25,35.4205
33,17.5,34.8298
33.5,17.75,34.4435
34,18,33.3302
34.5,18.25,31.1491
35,18.5,25.8554
35.5,18.75,23.7197
36,19,23.7651
36.5,19.25,23.7651
37,19.5,23.7878
37.5,19.75,23.8106
38,20,23.7424
38.5,20.25,23.7878
39,20.5,23.7651
39.5,20.75,23.7197
40,21,23.7651
40.5,21.25,23.7424
41,21.5,23.697
41.5,21.75,23.4925
42,22,23.447
42.5,22.25,23.1971
43,22.5,23.0154
43.5,22.75,22.2202
44,23,21.3568
44.5,23.25,19.2438
45,23.5,17.7216
45.5,23.75,17.7443
46,24,17.767
46.5,24.25,17.7216
47,24.5,17.767
47.5,24.75,17.7443
48,25,17.7216
48.5,25.25,17.7443
49,25.5,17.7216
49.5,25.75,17.7443
50,26,17.767
50.5,26.25,17.767
51,26.5,17.767
51.5,26.75,17.7216
52,27,17.7443
52.5,27.25,17.7443
53,27.5,17.767
53.5,27.75,17.767
54,28,17.6762
54.5,28.25,17.5853
55,28.5,17.6534
55.5,28.75,17.6762
56,29,17.5626
56.5,29.25,17.5626
57,29.5,17.2899
57.5,29.75,16.9718
58,30,16.5402
58.5,30.25,16.313
59,30.5,15.8813
59.5,30.75,14.8134
60,31,13.9955
60.5,31.25,11.8144
61,31.5,11.8144
61.5,31.75,11.8144
62,32,11.7917
62.5,32.25,11.8144
63,32.5,11.8144
63.5,32.75,11.7917
64,33,11.8144
64.5,33.25,11.7917
65,33.5,11.8144
65.5,33.75,11.8144
66,34,11.7917
66.5,34.25,11.8144
67,34.5,11.7917
67.5,34.75,11.8144
68,35,11.7917
68.5,35.25,11.7462
69,35.5,11.769
69.5,35.75,11.7235
70,36,11.7008
70.5,36.25,11.7917
71,36.5,11.7008
71.5,36.75,11.6326
72,37,11.4509
72.5,37.25,11.2918
73,37.5,10.8374
73.5,37.75,10.8602
74,38,10.383
74.5,38.25,9.86048
75,38.5,9.47424
75.5,38.75,8.76992
76,39,8.04288
76.5,39.25,6.38432
77,39.5,5.7936
77.5,39.75,5.7936
78,40,5.7936
78.5,40.25,5.81632
79,40.5,5.7936
79.5,40.75,5.7936
