time_s,distance_m,throughput_mbps
1,1.5,56.8682
1.5,1.75,59.5264
2,2,58.913
2.5,2.25,59.1402
3,2.5,59.4355
3.5,2.75,59.5491
4,3,59.4355
4.5,3.25,59.5491
5,3.5,59.6173
5.5,3.75,59.481
6,4,59.5037
6.5,4.25,59.4355
7,4.5,59.6173
7.5,4.75,59.5037
8,5,59.3446
8.5,5.25,59.5264
9,5.5,59.5718
9.5,5.75,59.5946
10,6,59.4128
10.5,6.25,59.6173
11,6.5,59.4582
11.5,6.75,59.481
12,7,59.481
12.5,7.25,59.64
13,7.5,59.4128
13.5,7.75,59.5264
14,8,59.5264
14.5,8.25,59.4582
15,8.5,59.5264
15.5,8.75,59.5718
16,9,59.4582
16.5,9.25,59.481
17,9.5,59.5946
17.5,9.75,59.3674
18,10,58.6858
18.5,10.25,56.6864
19,10.5,53.8464
19.5,10.75,50.8928
20,11,52.6877
20.5,11.25,50.9837
21,11.5,44.8266
21.5,11.75,47.3485
22,12,46.5078
22.5,12.25,45.2355
23,12.5,43.9178
23.5,12.75,41.1005
24,13,34.3754
24.5,13.25,25.2646
25,13.5,35.2387
25.5,13.75,34.8752
26,14,34.8298
26.5,14.25,35.2387
27,14.5,35.0797
27.5,14.75,35.1251
28,15,34.8752
28.5,15.25,35.0797
29,15.5,35.2387
29.5,15.75,35.3296
30,16,34.8752
30.5,16.25,34.807
31,16.5,35.1706
31.5,16.75,35.0342
32,17,35.1706
32.5,17.25,34.6253
33,17.5,34.7389
33.5,17.75,33.6256
34,18,32.1034
34.5,18.25,30.513
35,18.5,27.8093
35.5,18.75,23.6515
36,19,16.9264
36.5,19.25,12.1098
37,19.5,20.2662
37.5,19.75,23.129
38,20,23.3334
38.5,20.25,23.1062
39,20.5,23.2653
39.5,20.75,23.0835
40,21,23.3334
40.5,21.25,23.0835
41,21.5,23.1062
41.5,21.75,23.1062
42,22,22.5155
42.5,22.25,22.7654
43,22.5,21.8339
43.5,22.75,22.0384
44,23,20.5616
44.5,23.25,19.8573
45,23.5,18.017
45.5,23.75,15.4269
46,24,12.5187
46.5,24.25,9.088
47,24.5,16.6765
47.5,24.75,17.3126
48,25,17.1536
48.5,25.25,17.1309
49,25.5,17.1536
49.5,25.75,17.2899
50,26,17.1082
50.5,26.25,17.3354
51,26.5,17.2899
51.5,26.75,17.1309
52,27,17.2899
52.5,27.25,17.1536
53,27.5,17.1082
53.5,27.75,17.2445
54,28,17.0854
54.5,28.25,17.199
55,28.5,17.3808
55.5,28.75,16.9718
56,29,16.9037
56.5,29.25,17.04
57,29.5,16.6992
57.5,29.75,16.7219
58,30,15.8813
58.5,30.25,15.7677
59,30.5,15.177
59.5,30.75,14.6544
60,31,13.2458
60.5,31.25,11.9053
61,31.5,10.2694
61.5,31.75,8.11104
62,32,11.0419
62.5,32.25,11.2918
63,32.5,11.4282
63.5,32.75,11.2691
64,33,11.3146
64.5,33.25,11.3827
65,33.5,11.2464
65.5,33.75,11.2691
66,34,11.4054
66.5,34.25,11.2691
67,34.5,11.2918
67.5,34.75,11.4054
68,35,11.2237
68.5,35.25,11.2237
69,35.5,11.2464
69.5,35.75,11.2237
70,36,11.2691
70.5,36.25,11.0646
71,36.5,11.0419
71.5,36.75,11.0192
72,37,10.9283
72.5,37.25,10.792
73,37.5,10.5875
73.5,37.75,10.6102
74,38,9.36064
74.5,38.25,9.26976
75,38.5,9.24704
75.5,38.75,8.52
76,39,7.7248
76.5,39.25,6.67968
77,39.5,5.70272
77.5,39.75,4.15776
78,40,4.95296
78.5,40.25,5.3392
79,40.5,5.38464
79.5,40.75,5.40736
