time_s,distance_m,throughput_mbps
1,1.5,58.6858
1.5,1.75,59.5037
2,2,59.4582
2.5,2.25,59.5264
3,2.5,59.6173
3.5,2.75,59.4128
4,3,59.5491
4.5,3.25,59.4582
5,3.5,59.5037
5.5,3.75,59.64
6,4,59.481
6.5,4.25,59.481
7,4.5,59.5491
7.5,4.75,59.481
8,5,59.4128
8.5,5.25,59.481
9,5.5,59.4128
9.5,5.75,59.6173
10,6,59.481
10.5,6.25,59.5264
11,6.5,59.5037
11.5,6.75,59.5264
12,7,59.5491
12.5,7.25,59.5718
13,7.5,59.4582
13.5,7.75,59.5037
14,8,59.481
14.5,8.25,59.5946
15,8.5,59.5264
15.5,8.75,59.3901
16,9,59.4582
16.5,9.25,59.481
17,9.5,59.4582
17.5,9.75,59.3901
18,10,58.4358
18.5,10.25,57.1408
19,10.5,53.8464
19.5,10.75,53.3693
20,11,52.6877
20.5,11.25,50.6202
21,11.5,48.28
21.5,11.75,47.3485
22,12,47.0986
22.5,12.25,46.0534
23,12.5,44.1904
23.5,12.75,39.4646
24,13,35.6931
24.5,13.25,35.7158
25,13.5,35.625
25.5,13.75,35.7158
26,14,35.7158
26.5,14.25,35.6931
27,14.5,35.6477
27.5,14.75,35.6704
28,15,35.625
28.5,15.25,35.7158
29,15.5,35.625
29.5,15.75,35.7158
30,16,35.5795
30.5,16.25,35.625
31,16.5,35.6704
31.5,16.75,35.4659
32,17,35.6931
32.5,17.25,35.1933
33,17.5,34.9888
33.5,17.75,34.4208
34,18,33.1485
34.5,18.25,31.1037
35,18.5,25.7418
35.5,18.75,23.7424
36,19,23.7651
36.5,19.25,23.7197
37,19.5,23.7424
37.5,19.75,23.7424
38,20,23.7424
38.5,20.25,23.7651
39,20.5,23.7197
39.5,20.75,23.7424
40,21,23.7424
40.5,21.25,23.6742
41,21.5,23.6288
41.5,21.75,23.6515
42,22,23.5834
42.5,22.25,23.1971
43,22.5,22.9245
43.5,22.75,22.3792
44,23,20.9024
44.5,23.25,19.6074
45,23.5,17.767
45.5,23.75,17.7443
46,24,17.7898
46.5,24.25,17.7443
47,24.5,17.7443
47.5,24.75,17.7443
48,25,17.7443
48.5,25.25,17.7443
49,25.5,17.7216
49.5,25.75,17.767
50,26,17.7898
50.5,26.25,17.7443
51,26.5,17.767
51.5,26.75,17.7443
52,27,17.7443
52.5,27.25,17.7443
53,27.5,17.767
53.5,27.75,17.767
54,28,17.7216
54.5,28.25,17.6989
55,28.5,17.6534
55.5,28.75,17.6534
56,29,17.5398
56.5,29.25,17.4035
57,29.5,17.3581
57.5,29.75,17.0173
58,30,16.7674
58.5,30.25,16.1312
59,30.5,15.4723
59.5,30.75,14.6998
60,31,13.2458
60.5,31.25,11.7917
61,31.5,11.8144
61.5,31.75,11.8144
62,32,11.8144
62.5,32.25,11.8144
63,32.5,11.7917
63.5,32.75,11.8371
64,33,11.8371
64.5,33.25,11.7917
65,33.5,11.8144
65.5,33.75,11.7917
66,34,11.8144
66.5,34.25,11.7917
67,34.5,11.769
67.5,34.75,11.8144
68,35,11.7917
68.5,35.25,11.7462
69,35.5,11.7917
69.5,35.75,11.769
70,36,11.7235
70.5,36.25,11.769
71,36.5,11.6326
71.5,36.75,11.4054
72,37,11.4054
72.5,37.25,11.3146
73,37.5,10.8829
73.5,37.75,10.633
74,38,10.5194
74.5,38.25,9.67872
75,38.5,9.67872
75.5,38.75,8.49728
76,39,7.6112
76.5,39.25,6.67968
77,39.5,5.7936
77.5,39.75,5.7936
78,40,5.7936
78.5,40.25,5.81632
79,40.5,5.7936
79.5,40.75,5.81632
