time_s,distance_m,throughput_mbps
1,1.5,59.0493
1.5,1.75,59.5037
2,2,59.5037
2.5,2.25,59.5037
3,2.5,59.5037
3.5,2.75,59.5491
4,3,59.5718
4.5,3.25,59.5037
5,3.5,59.4582
5.5,3.75,59.5718
6,4,59.4128
6.5,4.25,59.5718
7,4.5,59.4582
7.5,4.75,59.5037
8,5,59.5037
8.5,5.25,59.5037
9,5.5,59.5264
9.5,5.75,59.5718
10,6,59.5491
10.5,6.25,59.5037
11,6.5,59.5037
11.5,6.75,59.481
12,7,59.5037
12.5,7.25,59.5264
13,7.5,59.5718
13.5,7.75,59.4582
14,8,59.5037
14.5,8.25,59.5491
15,8.5,59.5718
15.5,8.75,59.4582
16,9,59.5491
16.5,9.25,59.5037
17,9.5,59.5491
17.5,9.75,59.3674
18,10,58.7994
18.5,10.25,57.3907
19,10.5,53.8918
19.5,10.75,53.1648
20,11,52.6195
20.5,11.25,51.529
21,11.5,47.871
21.5,11.75,47.3485
22,12,47.1894
22.5,12.25,46.3261
23,12.5,44.9629
23.5,12.75,38.6013
24,13,35.6931
24.5,13.25,35.6704
25,13.5,35.6931
25.5,13.75,35.6704
26,14,35.6704
26.5,14.25,35.7386
27,14.5,35.7158
27.5,14.75,35.6931
28,15,35.6477
28.5,15.25,35.625
29,15.5,35.6704
29.5,15.75,35.7158
30,16,35.625
30.5,16.25,35.7158
31,16.5,35.7386
31.5,16.75,35.5114
32,17,35.5568
32.5,17.25,35.375
33,17.5,35.1024
33.5,17.75,33.8301
34,18,33.0349
34.5,18.25,31.1264
35,18.5,26.4688
35.5,18.75,23.7424
36,19,23.7651
36.5,19.25,23.7651
37,19.5,23.7197
37.5,19.75,23.7651
38,20,23.7424
38.5,20.25,23.7424
39,20.5,23.7651
39.5,20.75,23.8333
40,21,23.7197
40.5,21.25,23.697
41,21.5,23.447
41.5,21.75,23.5834
42,22,23.3107
42.5,22.25,23.2198
43,22.5,22.6973
43.5,22.75,22.3792
44,23,21.5613
44.5,23.25,19.4029
45,23.5,17.7216
45.5,23.75,17.7443
46,24,17.7443
46.5,24.25,17.767
47,24.5,17.7443
47.5,24.75,17.7216
48,25,17.7443
48.5,25.25,17.7216
49,25.5,17.7443
49.5,25.75,17.767
50,26,17.7443
50.5,26.25,17.7898
51,26.5,17.7443
51.5,26.75,17.767
52,27,17.7443
52.5,27.25,17.7216
53,27.5,17.7443
53.5,27.75,17.6989
54,28,17.6762
54.5,28.25,17.6762
55,28.5,17.6762
55.5,28.75,17.5853
56,29,17.4944
56.5,29.25,17.449
57,29.5,17.2899
57.5,29.75,17.0627
58,30,16.8582
58.5,30.25,16.3357
59,30.5,15.6541
59.5,30.75,14.6771
60,31,13.223
60.5,31.25,11.7917
61,31.5,11.8371
61.5,31.75,11.7917
62,32,11.7917
62.5,32.25,11.8371
63,32.5,11.7917
63.5,32.75,11.8371
64,33,11.7917
64.5,33.25,11.8371
65,33.5,11.7917
65.5,33.75,11.8144
66,34,11.7917
66.5,34.25,11.7462
67,34.5,11.769
67.5,34.75,11.8144
68,35,11.769
68.5,35.25,11.769
69,35.5,11.769
69.5,35.75,11.7008
70,36,11.7008
70.5,36.25,11.6554
71,36.5,11.4963
71.5,36.75,11.4282
72,37,11.5418
72.5,37.25,11.4509
73,37.5,10.9056
73.5,37.75,10.8829
74,38,10.3149
74.5,38.25,10.1558
75,38.5,9.47424
75.5,38.75,8.54272
76,39,7.952
76.5,39.25,6.52064
77,39.5,5.7936
77.5,39.75,5.81632
78,40,5.7936
78.5,40.25,5.81632
79,40.5,5.7936
79.5,40.75,5.81632
