time_s,distance_m,throughput_mbps
1,1.5,43.7587
1.5,1.75,58.2995
2,2,59.4582
2.5,2.25,59.5037
3,2.5,59.5037
3.5,2.75,59.5264
4,3,59.5264
4.5,3.25,59.5037
5,3.5,59.6173
5.5,3.75,59.4355
6,4,59.5264
6.5,4.25,59.5491
7,4.5,59.4582
7.5,4.75,59.481
8,5,59.5491
8.5,5.25,59.5491
9,5.5,59.64
9.5,5.75,59.5718
10,6,59.5264
10.5,6.25,59.5718
11,6.5,59.5264
11.5,6.75,59.5264
12,7,59.5491
12.5,7.25,59.5037
13,7.5,59.5718
13.5,7.75,59.5718
14,8,59.4582
14.5,8.25,59.6173
15,8.5,59.5037
15.5,8.75,59.5718
16,9,59.5037
16.5,9.25,59.5037
17,9.5,59.4355
17.5,9.75,59.3446
18,10,58.6858
18.5,10.25,57.2317
19,10.5,54.0282
19.5,10.75,50.5293
20,11,52.256
20.5,11.25,52.0288
21,11.5,44.463
21.5,11.75,47.4166
22,12,47.0304
22.5,12.25,44.9402
23,12.5,44.4176
23.5,12.75,40.2371
24,13,33.7619
24.5,13.25,22.879
25,13.5,16.7674
25.5,13.75,28.3773
26,14,35.1478
26.5,14.25,34.807
27,14.5,35.057
27.5,14.75,35.1024
28,15,34.8752
28.5,15.25,35.216
29,15.5,34.8979
29.5,15.75,34.8752
30,16,34.9888
30.5,16.25,35.1478
31,16.5,34.9888
31.5,16.75,35.2614
32,17,34.8298
32.5,17.25,34.9206
33,17.5,34.1936
33.5,17.75,33.3302
34,18,31.6262
34.5,18.25,31.0582
35,18.5,27.2867
35.5,18.75,23.6061
36,19,17.1309
36.5,19.25,12.0416
37,19.5,22.0838
37.5,19.75,22.9699
38,20,23.1744
38.5,20.25,23.4243
39,20.5,23.0154
39.5,20.75,23.2198
40,21,22.9018
40.5,21.25,23.1517
41,21.5,23.288
41.5,21.75,22.72
42,22,23.4016
42.5,22.25,22.5382
43,22.5,22.4019
43.5,22.75,21.3568
44,23,20.857
44.5,23.25,18.7667
45,23.5,18.3578
45.5,23.75,14.8134
46,24,12.8368
46.5,24.25,9.088
47,24.5,14.1546
47.5,24.75,17.2899
48,25,17.1536
48.5,25.25,17.3354
49,25.5,17.2899
49.5,25.75,17.1536
50,26,17.1309
50.5,26.25,17.1309
51,26.5,17.2672
51.5,26.75,17.1309
52,27,17.3354
52.5,27.25,17.3126
53,27.5,17.1309
53.5,27.75,17.3808
54,28,17.2445
54.5,28.25,17.1082
55,28.5,17.0854
55.5,28.75,17.0173
56,29,17.1082
56.5,29.25,16.7446
57,29.5,16.7446
57.5,29.75,16.631
58,30,16.3357
58.5,30.25,15.8131
59,30.5,15.2678
59.5,30.75,13.9046
60,31,13.4275
60.5,31.25,11.36
61,31.5,9.83776
61.5,31.75,8.99712
62,32,9.01984
62.5,32.25,11.36
63,32.5,11.3146
63.5,32.75,11.2691
64,33,11.4054
64.5,33.25,11.2691
65,33.5,11.2918
65.5,33.75,11.3827
66,34,11.2691
66.5,34.25,11.2918
67,34.5,11.4054
67.5,34.75,11.2918
68,35,11.2691
68.5,35.25,11.3373
69,35.5,11.0874
69.5,35.75,11.1782
70,36,11.1782
70.5,36.25,11.201
71,36.5,11.2464
71.5,36.75,11.0192
72,37,11.0192
72.5,37.25,10.5421
73,37.5,10.5421
73.5,37.75,10.3376
74,38,10.1104
74.5,38.25,9.38336
75,38.5,9.5424
75.5,38.75,8.52
76,39,7.81568
76.5,39.25,6.79328
77,39.5,6.31616
77.5,39.75,4.544
78,40,5.112
78.5,40.25,5.36192
79,40.5,4.56672
79.5,40.75,5.38464
