time_s,distance_m,throughput_mbps
1,1.5,53.4374
1.5,1.75,59.0947
2,2,59.0493
2.5,2.25,59.5037
3,2.5,59.5264
3.5,2.75,59.5037
4,3,59.5264
4.5,3.25,59.5491
5,3.5,59.481
5.5,3.75,59.481
6,4,59.4128
6.5,4.25,59.4355
7,4.5,59.481
7.5,4.75,59.4582
8,5,59.5491
8.5,5.25,59.481
9,5.5,59.5037
9.5,5.75,59.6173
10,6,59.4355
10.5,6.25,59.4582
11,6.5,59.481
11.5,6.75,59.481
12,7,59.481
12.5,7.25,59.5491
13,7.5,59.5718
13.5,7.75,59.5264
14,8,59.5491
14.5,8.25,59.5264
15,8.5,59.5037
15.5,8.75,59.4582
16,9,59.5037
16.5,9.25,59.4355
17,9.5,59.4582
17.5,9.75,59.2538
18,10,58.1632
18.5,10.25,57.6179
19,10.5,53.3693
19.5,10.75,51.3699
20,11,52.4832
20.5,11.25,51.2109
21,11.5,45.0765
21.5,11.75,46.8486
22,12,46.8486
22.5,12.25,44.872
23,12.5,44.6221
23.5,12.75,39.2829
24,13,33.5347
24.5,13.25,22.6291
25,13.5,34.0118
25.5,13.75,34.9661
26,14,35.1478
26.5,14.25,35.1251
27,14.5,34.8752
27.5,14.75,35.5568
28,15,34.8752
28.5,15.25,35.1024
29,15.5,34.8752
29.5,15.75,34.8525
30,16,35.1251
30.5,16.25,35.4886
31,16.5,34.9888
31.5,16.75,34.7843
32,17,35.0115
32.5,17.25,34.3072
33,17.5,34.4435
33.5,17.75,34.2845
34,18,32.8758
34.5,18.25,30.7402
35,18.5,27.105
35.5,18.75,24.0378
36,19,17.1309
36.5,19.25,11.4736
37,19.5,22.5155
37.5,19.75,22.9018
38,20,23.2426
38.5,20.25,23.1971
39,20.5,23.1517
39.5,20.75,23.3789
40,21,23.1971
40.5,21.25,22.8109
41,21.5,23.0608
41.5,21.75,22.9472
42,22,22.879
42.5,22.25,22.8563
43,22.5,22.3792
43.5,22.75,21.9021
44,23,21.1523
44.5,23.25,19.4256
45,23.5,17.5171
45.5,23.75,15.6086
46,24,12.3142
46.5,24.25,9.3152
47,24.5,13.2458
47.5,24.75,17.1309
48,25,17.1763
48.5,25.25,17.2899
49,25.5,17.1763
49.5,25.75,17.4944
50,26,17.2672
50.5,26.25,17.2445
51,26.5,17.1536
51.5,26.75,17.1536
52,27,17.2672
52.5,27.25,17.1082
53,27.5,17.1082
53.5,27.75,17.1536
54,28,17.2218
54.5,28.25,17.0854
55,28.5,17.3126
55.5,28.75,16.9946
56,29,17.1309
56.5,29.25,16.8128
57,29.5,16.7674
57.5,29.75,16.5856
58,30,16.1085
58.5,30.25,15.8131
59,30.5,15.3814
59.5,30.75,14.4726
60,31,12.8595
60.5,31.25,11.5872
61,31.5,9.81504
61.5,31.75,8.8608
62,32,9.9968
62.5,32.25,11.2691
63,32.5,11.4282
63.5,32.75,11.2918
64,33,11.2691
64.5,33.25,11.3827
65,33.5,11.2691
65.5,33.75,11.2918
66,34,11.3827
66.5,34.25,11.2691
67,34.5,11.2464
67.5,34.75,11.2918
68,35,11.3827
68.5,35.25,11.2691
69,35.5,11.36
69.5,35.75,11.2464
70,36,11.2237
70.5,36.25,11.1782
71,36.5,11.0874
71.5,36.75,11.0192
72,37,10.9965
72.5,37.25,10.6102
73,37.5,10.5875
73.5,37.75,10.4966
74,38,9.92864
74.5,38.25,9.74688
75,38.5,8.92896
75.5,38.75,8.42912
76,39,7.8384
76.5,39.25,6.97504
77,39.5,4.83936
77.5,39.75,4.93024
78,40,4.56672
78.5,40.25,5.40736
79,40.5,5.36192
79.5,40.75,5.38464
