time_s,distance_m,throughput_mbps
1,1.5,58.1632
1.5,1.75,59.4355
2,2,59.5037
2.5,2.25,59.5491
3,2.5,59.5718
3.5,2.75,59.5491
4,3,59.5491
4.5,3.25,59.481
5,3.5,59.481
5.5,3.75,59.481
6,4,59.4582
6.5,4.25,59.5037
7,4.5,59.4582
7.5,4.75,59.481
8,5,59.5264
8.5,5.25,59.5264
9,5.5,59.481
9.5,5.75,59.481
10,6,59.5491
10.5,6.25,59.5037
11,6.5,59.5491
11.5,6.75,59.5264
12,7,59.4582
12.5,7.25,59.4128
13,7.5,59.4582
13.5,7.75,59.5718
14,8,59.4355
14.5,8.25,59.5264
15,8.5,59.5946
15.5,8.75,59.5037
16,9,59.481
16.5,9.25,59.5491
17,9.5,59.4128
17.5,9.75,59.2538
18,10,58.7539
18.5,10.25,57.1862
19,10.5,53.7555
19.5,10.75,53.233
20,11,52.8013
20.5,11.25,50.8019
21,11.5,47.8029
21.5,11.75,47.3712
22,12,46.9168
22.5,12.25,46.167
23,12.5,43.1226
23.5,12.75,40.2371
24,13,35.6477
24.5,13.25,35.6477
25,13.5,35.6477
25.5,13.75,35.6477
26,14,35.6931
26.5,14.25,35.6931
27,14.5,35.6704
27.5,14.75,35.6931
28,15,35.7613
28.5,15.25,35.7158
29,15.5,35.6704
29.5,15.75,35.6704
30,16,35.6704
30.5,16.25,35.6704
31,16.5,35.6477
31.5,16.75,35.6931
32,17,35.4659
32.5,17.25,35.375
33,17.5,34.7843
33.5,17.75,34.3299
34,18,32.6714
34.5,18.25,31.4218
35,18.5,25.5146
35.5,18.75,23.7424
36,19,23.7878
36.5,19.25,23.7424
37,19.5,23.7424
37.5,19.75,23.7424
38,20,23.7197
38.5,20.25,23.7651
39,20.5,23.7651
39.5,20.75,23.697
40,21,23.7651
40.5,21.25,23.697
41,21.5,23.6515
41.5,21.75,23.5379
42,22,23.4243
42.5,22.25,23.2653
43,22.5,22.9699
43.5,22.75,22.1974
44,23,21.6749
44.5,23.25,19.7891
45,23.5,17.7216
45.5,23.75,17.767
46,24,17.7443
46.5,24.25,17.767
47,24.5,17.767
47.5,24.75,17.7443
48,25,17.767
48.5,25.25,17.767
49,25.5,17.7443
49.5,25.75,17.7443
50,26,17.7216
50.5,26.25,17.767
51,26.5,17.767
51.5,26.75,17.767
52,27,17.767
52.5,27.25,17.6989
53,27.5,17.7443
53.5,27.75,17.7443
54,28,17.6762
54.5,28.25,17.6762
55,28.5,17.6534
55.5,28.75,17.6534
56,29,17.5853
56.5,29.25,17.1763
57,29.5,17.3126
57.5,29.75,16.9946
58,30,16.5629
58.5,30.25,16.1085
59,30.5,15.7222
59.5,30.75,15.0406
60,31,13.4048
60.5,31.25,11.769
61,31.5,11.8144
61.5,31.75,11.7917
62,32,11.8144
62.5,32.25,11.7917
63,32.5,11.8144
63.5,32.75,11.7917
64,33,11.8144
64.5,33.25,11.7917
65,33.5,11.7917
65.5,33.75,11.8144
66,34,11.8144
66.5,34.25,11.8144
67,34.5,11.7917
67.5,34.75,11.8144
68,35,11.769
68.5,35.25,11.7462
69,35.5,11.769
69.5,35.75,11.769
70,36,11.769
70.5,36.25,11.6781
71,36.5,11.6099
71.5,36.75,11.519
72,37,11.2464
72.5,37.25,11.2237
73,37.5,10.9056
73.5,37.75,10.633
74,38,10.633
74.5,38.25,9.656
75,38.5,9.26976
75.5,38.75,8.92896
76,39,7.67936
76.5,39.25,6.1344
77,39.5,5.7936
77.5,39.75,5.81632
78,40,5.7936
78.5,40.25,5.7936
79,40.5,5.81632
79.5,40.75,5.7936
