time_s,distance_m,throughput_mbps
1,1.5,58.8448
1.5,1.75,59.481
2,2,59.481
2.5,2.25,59.5037
3,2.5,59.6173
3.5,2.75,59.5264
4,3,59.4582
4.5,3.25,59.6173
5,3.5,59.4355
5.5,3.75,59.5037
6,4,59.5718
6.5,4.25,59.5491
7,4.5,59.4582
7.5,4.75,59.5491
8,5,59.4582
8.5,5.25,59.5264
9,5.5,59.5491
9.5,5.75,59.5037
10,6,59.5037
10.5,6.25,59.4355
11,6.5,59.5718
11.5,6.75,59.481
12,7,59.4355
12.5,7.25,59.5264
13,7.5,59.5037
13.5,7.75,59.4582
14,8,59.6173
14.5,8.25,59.5037
15,8.5,59.4582
15.5,8.75,59.5264
16,9,59.481
16.5,9.25,59.5491
17,9.5,59.4355
17.5,9.75,59.231
18,10,58.7994
18.5,10.25,57.2317
19,10.5,54.0054
19.5,10.75,53.233
20,11,52.3469
20.5,11.25,51.279
21,11.5,47.8256
21.5,11.75,47.4166
22,12,47.0758
22.5,12.25,45.9853
23,12.5,45.031
23.5,12.75,39.3738
24,13,35.7158
24.5,13.25,35.6931
25,13.5,35.6931
25.5,13.75,35.6704
26,14,35.6931
26.5,14.25,35.625
27,14.5,35.6931
27.5,14.75,35.6931
28,15,35.6022
28.5,15.25,35.6931
29,15.5,35.7386
29.5,15.75,35.7158
30,16,35.6022
30.5,16.25,35.5795
31,16.5,35.6704
31.5,16.75,35.5568
32,17,35.4205
32.5,17.25,35.1933
33,17.5,35.0342
33.5,17.75,34.7389
34,18,33.1485
34.5,18.25,31.5808
35,18.5,25.8099
35.5,18.75,23.7651
36,19,23.7424
36.5,19.25,23.7651
37,19.5,23.7651
37.5,19.75,23.7651
38,20,23.7424
38.5,20.25,23.7651
39,20.5,23.7197
39.5,20.75,23.7197
40,21,23.7424
40.5,21.25,23.6742
41,21.5,23.7424
41.5,21.75,23.5834
42,22,23.3334
42.5,22.25,23.1517
43,22.5,22.6973
43.5,22.75,22.1747
44,23,21.425
44.5,23.25,19.7664
45,23.5,17.767
45.5,23.75,17.7443
46,24,17.7443
46.5,24.25,17.7443
47,24.5,17.7443
47.5,24.75,17.7443
48,25,17.7216
48.5,25.25,17.7216
49,25.5,17.7443
49.5,25.75,17.7216
50,26,17.7443
50.5,26.25,17.7443
51,26.5,17.767
51.5,26.75,17.7443
52,27,17.7443
52.5,27.25,17.767
53,27.5,17.6989
53.5,27.75,17.7216
54,28,17.7216
54.5,28.25,17.7443
55,28.5,17.6762
55.5,28.75,17.5626
56,29,17.4717
56.5,29.25,17.199
57,29.5,17.3126
57.5,29.75,16.9946
58,30,16.4266
58.5,30.25,16.2221
59,30.5,15.7677
59.5,30.75,14.5408
60,31,13.4275
60.5,31.25,11.7917
61,31.5,11.7917
61.5,31.75,11.7917
62,32,11.8144
62.5,32.25,11.8144
63,32.5,11.8144
63.5,32.75,11.7917
64,33,11.8144
64.5,33.25,11.8144
65,33.5,11.769
65.5,33.75,11.8144
66,34,11.8371
66.5,34.25,11.769
67,34.5,11.8144
67.5,34.75,11.7917
68,35,11.7917
68.5,35.25,11.769
69,35.5,11.7235
69.5,35.75,11.7462
70,36,11.6326
70.5,36.25,11.6781
71,36.5,11.5418
71.5,36.75,11.519
72,37,11.3146
72.5,37.25,11.3146
73,37.5,10.8829
73.5,37.75,10.8147
74,38,10.3149
74.5,38.25,9.90592
75,38.5,9.24704
75.5,38.75,8.38368
76,39,7.81568
76.5,39.25,6.4752
77,39.5,5.7936
77.5,39.75,5.7936
78,40,5.81632
78.5,40.25,5.7936
79,40.5,5.7936
79.5,40.75,5.7936
