time_s,distance_m,throughput_mbps
1,1.5,56.7318
1.5,1.75,59.5037
2,2,58.663
2.5,2.25,59.4355
3,2.5,59.5491
3.5,2.75,59.481
4,3,59.481
4.5,3.25,59.5718
5,3.5,59.5037
5.5,3.75,59.481
6,4,59.5037
6.5,4.25,59.5037
7,4.5,59.5491
7.5,4.75,59.481
8,5,59.5946
8.5,5.25,59.4355
9,5.5,59.481
9.5,5.75,59.5264
10,6,59.4582
10.5,6.25,59.5037
11,6.5,59.5264
11.5,6.75,59.5264
12,7,59.4355
12.5,7.25,59.3674
13,7.5,59.5264
13.5,7.75,59.5491
14,8,59.481
14.5,8.25,59.5946
15,8.5,59.5718
15.5,8.75,59.5037
16,9,59.5264
16.5,9.25,59.4128
17,9.5,59.4582
17.5,9.75,59.1402
18,10,58.8448
18.5,10.25,57.3907
19,10.5,53.4147
19.5,10.75,50.6202
20,11,52.6422
20.5,11.25,51.2563
21,11.5,46.5306
21.5,11.75,45.0765
22,12,46.4851
22.5,12.25,45.8035
23,12.5,43.4861
23.5,12.75,40.6688
24,13,32.5123
24.5,13.25,23.6288
25,13.5,20.0618
25.5,13.75,23.3789
26,14,23.1971
26.5,14.25,23.6288
27,14.5,22.9699
27.5,14.75,23.1744
28,15,23.1971
28.5,15.25,23.2198
29,15.5,23.3107
29.5,15.75,23.3562
30,16,22.9018
30.5,16.25,23.5379
31,16.5,23.3562
31.5,16.75,23.3562
32,17,23.3334
32.5,17.25,23.5152
33,17.5,23.1971
33.5,17.75,23.0835
34,18,23.5834
34.5,18.25,23.1062
35,18.5,23.447
35.5,18.75,23.0608
36,19,23.447
36.5,19.25,23.1971
37,19.5,23.1062
37.5,19.75,23.4243
38,20,23.1517
38.5,20.25,23.1971
39,20.5,22.9472
39.5,20.75,23.4243
40,21,23.1971
40.5,21.25,23.0154
41,21.5,23.1971
41.5,21.75,22.9245
42,22,22.7654
42.5,22.25,22.6973
43,22.5,21.9702
43.5,22.75,21.3568
44,23,20.8115
44.5,23.25,19.6301
45,23.5,18.2896
45.5,23.75,14.8362
46,24,12.9277
46.5,24.25,12.8822
47,24.5,17.2899
47.5,24.75,17.2672
48,25,17.3354
48.5,25.25,17.1082
49,25.5,17.1536
49.5,25.75,17.2445
50,26,17.4035
50.5,26.25,17.1082
51,26.5,17.1082
51.5,26.75,17.1763
52,27,17.2899
52.5,27.25,17.1536
53,27.5,17.2672
53.5,27.75,17.2899
54,28,17.1082
54.5,28.25,17.0854
55,28.5,17.0854
55.5,28.75,16.9264
56,29,17.04
56.5,29.25,16.9946
57,29.5,16.7446
57.5,29.75,16.631
58,30,16.063
58.5,30.25,15.4269
59,30.5,15.0179
59.5,30.75,14.0182
60,31,13.3594
60.5,31.25,11.8826
61,31.5,10.2694
61.5,31.75,8.22464
62,32,9.47424
62.5,32.25,11.2464
63,32.5,11.2691
63.5,32.75,11.4054
64,33,11.2691
64.5,33.25,11.2691
65,33.5,11.4054
65.5,33.75,11.2691
66,34,11.2918
66.5,34.25,11.3827
67,34.5,11.2691
67.5,34.75,11.2918
68,35,11.3373
68.5,35.25,11.2691
69,35.5,11.201
69.5,35.75,11.4054
70,36,11.2237
70.5,36.25,11.1555
71,36.5,10.9738
71.5,36.75,11.0192
72,37,10.9056
72.5,37.25,10.7466
73,37.5,10.3603
73.5,37.75,10.4739
74,38,9.90592
74.5,38.25,9.74688
75,38.5,9.33792
75.5,38.75,8.49728
76,39,7.02048
76.5,39.25,6.61152
77,39.5,5.2256
77.5,39.75,4.40768
78,40,4.0896
78.5,40.25,5.36192
79,40.5,5.38464
79.5,40.75,5.40736
