time_s,distance_m,throughput_mbps
1,1.5,54.6643
1.5,1.75,59.1629
2,2,59.0947
2.5,2.25,59.1174
3,2.5,59.5718
3.5,2.75,59.5491
4,3,59.5264
4.5,3.25,59.5491
5,3.5,59.5264
5.5,3.75,59.5718
6,4,59.4582
6.5,4.25,59.481
7,4.5,59.5491
7.5,4.75,59.5264
8,5,59.5264
8.5,5.25,59.5264
9,5.5,59.4355
9.5,5.75,59.4128
10,6,59.481
10.5,6.25,59.5491
11,6.5,59.4355
11.5,6.75,59.4128
12,7,59.5491
12.5,7.25,59.5264
13,7.5,59.5264
13.5,7.75,59.4355
14,8,59.4582
14.5,8.25,59.5264
15,8.5,59.4582
15.5,8.75,59.4355
16,9,59.4582
16.5,9.25,59.4128
17,9.5,59.4128
17.5,9.75,59.4128
18,10,58.4813
18.5,10.25,57.1408
19,10.5,53.3466
19.5,10.75,50.9382
20,11,52.5968
20.5,11.25,51.5517
21,11.5,44.9856
21.5,11.75,46.8259
22,12,46.5078
22.5,12.25,46.1216
23,12.5,44.0995
23.5,12.75,38.7603
24,13,34.0573
24.5,13.25,23.2198
25,13.5,26.6278
25.5,13.75,34.9661
26,14,35.2842
26.5,14.25,35.1478
27,14.5,34.7843
27.5,14.75,35.1706
28,15,35.0797
28.5,15.25,35.3978
29,15.5,35.2614
29.5,15.75,34.8525
30,16,35.0797
30.5,16.25,35.1706
31,16.5,34.9888
31.5,16.75,34.6707
32,17,35.1706
32.5,17.25,35.1024
33,17.5,34.0346
33.5,17.75,33.6256
34,18,32.1034
34.5,18.25,30.7174
35,18.5,28.6726
35.5,18.75,23.5379
36,19,16.9718
36.5,19.25,11.8144
37,19.5,17.3808
37.5,19.75,17.3126
38,20,17.1763
38.5,20.25,17.4035
39,20.5,17.1082
39.5,20.75,17.4262
40,21,17.449
40.5,21.25,17.3581
41,21.5,17.3581
41.5,21.75,17.1082
42,22,17.1536
42.5,22.25,17.4262
43,22.5,17.1536
43.5,22.75,17.2899
44,23,17.2445
44.5,23.25,17.3354
45,23.5,17.5853
45.5,23.75,17.3126
46,24,17.2672
46.5,24.25,17.2899
47,24.5,17.199
47.5,24.75,17.1309
48,25,17.1536
48.5,25.25,17.1763
49,25.5,17.2899
49.5,25.75,17.3126
50,26,17.1763
50.5,26.25,17.2899
51,26.5,17.1536
51.5,26.75,17.3126
52,27,17.1082
52.5,27.25,17.1309
53,27.5,17.2672
53.5,27.75,17.0854
54,28,17.3354
54.5,28.25,17.199
55,28.5,17.3126
55.5,28.75,17.04
56,29,16.9037
56.5,29.25,16.9037
57,29.5,16.7219
57.5,29.75,16.4493
58,30,16.1539
58.5,30.25,15.5178
59,30.5,15.1997
59.5,30.75,14.768
60,31,13.6774
60.5,31.25,12.1325
61,31.5,10.1104
61.5,31.75,8.61088
62,32,11.0646
62.5,32.25,11.4054
63,32.5,11.2464
63.5,32.75,11.4054
64,33,11.2691
64.5,33.25,11.2691
65,33.5,11.3827
65.5,33.75,11.3146
66,34,11.2691
66.5,34.25,11.4054
67,34.5,11.2464
67.5,34.75,11.2918
68,35,11.36
68.5,35.25,11.2691
69,35.5,11.2464
69.5,35.75,11.1782
70,36,11.2918
70.5,36.25,11.1555
71,36.5,11.1782
71.5,36.75,10.951
72,37,10.9056
72.5,37.25,10.8829
73,37.5,10.4739
73.5,37.75,10.6557
74,38,10.0422
74.5,38.25,9.656
75,38.5,9.26976
75.5,38.75,8.52
76,39,7.81568
76.5,39.25,6.63424
77,39.5,5.65728
77.5,39.75,4.56672
78,40,4.22592
78.5,40.25,5.40736
79,40.5,5.40736
79.5,40.75,5.40736
