time_s,distance_m,throughput_mbps
1,1.5,58.1859
1.5,1.75,59.1856
2,2,59.0493
2.5,2.25,59.481
3,2.5,59.5491
3.5,2.75,59.5491
4,3,59.5037
4.5,3.25,59.481
5,3.5,59.5037
5.5,3.75,59.5491
6,4,59.4582
6.5,4.25,59.5718
7,4.5,59.4355
7.5,4.75,59.5491
8,5,59.5491
8.5,5.25,59.481
9,5.5,59.4582
9.5,5.75,59.5491
10,6,59.5037
10.5,6.25,59.5946
11,6.5,59.5718
11.5,6.75,59.5718
12,7,59.481
12.5,7.25,59.4582
13,7.5,59.5491
13.5,7.75,59.4582
14,8,59.5037
14.5,8.25,59.481
15,8.5,59.5491
15.5,8.75,59.5264
16,9,59.5037
16.5,9.25,59.4128
17,9.5,59.4128
17.5,9.75,59.0947
18,10,58.7539
18.5,10.25,57.0499
19,10.5,53.8237
19.5,10.75,50.0067
20,11,52.3242
20.5,11.25,51.2563
21,11.5,44.463
21.5,11.75,47.4394
22,12,46.9168
22.5,12.25,44.8947
23,12.5,44.6675
23.5,12.75,39.6237
24,13,33.0576
24.5,13.25,22.5155
25,13.5,23.3789
25.5,13.75,23.1971
26,14,23.1971
26.5,14.25,23.1744
27,14.5,23.3107
27.5,14.75,23.2198
28,15,23.8106
28.5,15.25,22.9472
29,15.5,23.4016
29.5,15.75,22.9472
30,16,23.1971
30.5,16.25,23.6061
31,16.5,23.1517
31.5,16.75,23.2198
32,17,23.4698
32.5,17.25,23.4925
33,17.5,23.1971
33.5,17.75,23.1517
34,18,23.3562
34.5,18.25,23.1744
35,18.5,23.2653
35.5,18.75,23.3334
36,19,23.2653
36.5,19.25,23.3562
37,19.5,23.1517
37.5,19.75,23.288
38,20,23.0608
38.5,20.25,23.5606
39,20.5,22.9245
39.5,20.75,23.3562
40,21,23.1744
40.5,21.25,22.9018
41,21.5,23.0381
41.5,21.75,23.0154
42,22,22.879
42.5,22.25,22.6518
43,22.5,22.152
43.5,22.75,21.7885
44,23,20.0618
44.5,23.25,19.6982
45,23.5,17.8806
45.5,23.75,14.768
46,24,13.4957
46.5,24.25,9.49696
47,24.5,15.8131
47.5,24.75,17.1082
48,25,17.1309
48.5,25.25,17.2899
49,25.5,17.2218
49.5,25.75,17.2672
50,26,17.2899
50.5,26.25,17.1536
51,26.5,17.2672
51.5,26.75,17.1309
52,27,17.1309
52.5,27.25,17.2899
53,27.5,17.1082
53.5,27.75,17.2672
54,28,17.1082
54.5,28.25,17.3126
55,28.5,16.9718
55.5,28.75,17.0627
56,29,16.9491
56.5,29.25,16.9037
57,29.5,16.881
57.5,29.75,16.3584
58,30,16.1994
58.5,30.25,16.1085
59,30.5,15.0179
59.5,30.75,13.9728
60,31,13.2912
60.5,31.25,12.3142
61,31.5,9.58784
61.5,31.75,8.61088
62,32,6.63424
62.5,32.25,4.58944
63,32.5,3.47616
63.5,32.75,5.38464
64,33,5.49824
64.5,33.25,7.86112
65,33.5,11.2691
65.5,33.75,11.2464
66,34,11.4054
66.5,34.25,11.2464
67,34.5,11.2918
67.5,34.75,11.3827
68,35,11.2464
68.5,35.25,11.3827
69,35.5,11.1328
69.5,35.75,11.2237
70,36,11.2237
70.5,36.25,11.1101
71,36.5,11.1555
71.5,36.75,10.8602
72,37,10.951
72.5,37.25,10.792
73,37.5,10.6784
73.5,37.75,10.3603
74,38,10.1558
74.5,38.25,9.49696
75,38.5,8.7472
75.5,38.75,9.04256
76,39,7.56576
76.5,39.25,6.52064
77,39.5,5.77088
77.5,39.75,4.68032
78,40,4.61216
78.5,40.25,5.3392
79,40.5,5.43008
79.5,40.75,5.38464
