time_s,distance_m,throughput_mbps
1,1.5,56.9136
1.5,1.75,59.5264
2,2,58.7539
2.5,2.25,59.481
3,2.5,59.5718
3.5,2.75,59.5264
4,3,59.5491
4.5,3.25,59.5491
5,3.5,59.4355
5.5,3.75,59.5037
6,4,59.5264
6.5,4.25,59.5946
7,4.5,59.5264
7.5,4.75,59.6173
8,5,59.5718
8.5,5.25,59.5037
9,5.5,59.5264
9.5,5.75,59.5491
10,6,59.3901
10.5,6.25,59.481
11,6.5,59.5037
11.5,6.75,59.5264
12,7,59.5264
12.5,7.25,59.5491
13,7.5,59.481
13.5,7.75,59.5264
14,8,59.5946
14.5,8.25,59.4582
15,8.5,59.5491
15.5,8.75,59.481
16,9,59.5264
16.5,9.25,59.4128
17,9.5,59.3674
17.5,9.75,59.3219
18,10,58.7994
18.5,10.25,57.4134
19,10.5,53.0512
19.5,10.75,50.8474
20,11,52.7786
20.5,11.25,50.6429
21,11.5,45.9853
21.5,11.75,45.1219
22,12,46.5987
22.5,12.25,46.4851
23,12.5,44.5539
23.5,12.75,40.3734
24,13,32.7395
24.5,13.25,22.2202
25,13.5,17.5626
25.5,13.75,17.2218
26,14,17.8352
26.5,14.25,17.1536
27,14.5,17.5398
27.5,14.75,17.3581
28,15,17.8352
28.5,15.25,17.2672
29,15.5,17.5853
29.5,15.75,17.4035
30,16,17.5398
30.5,16.25,17.5626
31,16.5,17.5171
31.5,16.75,17.3126
32,17,17.1763
32.5,17.25,17.4035
33,17.5,17.1536
33.5,17.75,17.6989
34,18,17.1082
34.5,18.25,17.8579
35,18.5,17.3808
35.5,18.75,17.2899
36,19,17.4262
36.5,19.25,17.3354
37,19.5,17.4262
37.5,19.75,17.4035
38,20,17.5398
38.5,20.25,17.2445
39,20.5,17.1309
39.5,20.75,17.1309
40,21,17.4262
40.5,21.25,17.2899
41,21.5,17.4035
41.5,21.75,17.2445
42,22,17.3808
42.5,22.25,17.1309
43,22.5,17.3581
43.5,22.75,17.4035
44,23,17.3126
44.5,23.25,17.3354
45,23.5,17.1309
45.5,23.75,17.3354
46,24,17.1309
46.5,24.25,17.4035
47,24.5,17.199
47.5,24.75,17.1309
48,25,17.3126
48.5,25.25,17.1536
49,25.5,17.2899
49.5,25.75,17.1763
50,26,17.2899
50.5,26.25,17.1309
51,26.5,17.1536
51.5,26.75,17.2899
52,27,17.199
52.5,27.25,17.449
53,27.5,17.2445
53.5,27.75,17.1082
54,28,17.1309
54.5,28.25,17.2672
55,28.5,16.9718
55.5,28.75,16.9946
56,29,17.0627
56.5,29.25,17.0173
57,29.5,16.8355
57.5,29.75,16.313
58,30,16.1312
58.5,30.25,15.177
59,30.5,15.1542
59.5,30.75,14.4499
60,31,13.473
60.5,31.25,12.337
61,31.5,11.1555
61.5,31.75,8.72448
62,32,6.1344
62.5,32.25,4.56672
63,32.5,2.79456
63.5,32.75,2.65824
64,33,7.74752
64.5,33.25,11.2237
65,33.5,11.2918
65.5,33.75,11.2691
66,34,11.3827
66.5,34.25,11.3146
67,34.5,11.2237
67.5,34.75,11.3827
68,35,11.2691
68.5,35.25,11.2464
69,35.5,11.2464
69.5,35.75,11.4509
70,36,11.1782
70.5,36.25,11.1782
71,36.5,11.0874
71.5,36.75,11.201
72,37,10.7693
72.5,37.25,10.6557
73,37.5,10.6102
73.5,37.75,10.3149
74,38,10.1331
74.5,38.25,9.656
75,38.5,8.7472
75.5,38.75,8.52
76,39,7.77024
76.5,39.25,6.97504
77,39.5,6.22528
77.5,39.75,4.27136
78,40,4.63488
78.5,40.25,5.4528
79,40.5,4.95296
79.5,40.75,5.31648
