time_s,distance_m,throughput_mbps
1,1.5,58.6176
1.5,1.75,59.3446
2,2,59.1174
2.5,2.25,59.0947
3,2.5,59.5946
3.5,2.75,59.3674
4,3,59.4582
4.5,3.25,59.5037
5,3.5,59.5264
5.5,3.75,59.5491
6,4,59.481
6.5,4.25,59.481
7,4.5,59.481
7.5,4.75,59.481
8,5,59.5037
8.5,5.25,59.5718
9,5.5,59.5718
9.5,5.75,59.5264
10,6,59.5037
10.5,6.25,59.481
11,6.5,59.4582
11.5,6.75,59.4582
12,7,59.5264
12.5,7.25,59.5037
13,7.5,59.5037
13.5,7.75,59.5491
14,8,59.5264
14.5,8.25,59.5037
15,8.5,59.5037
15.5,8.75,59.5037
16,9,59.3674
16.5,9.25,59.5037
17,9.5,59.4355
17.5,9.75,59.231
18,10,58.7312
18.5,10.25,57.5043
19,10.5,53.3238
19.5,10.75,50.5066
20,11,52.3469
20.5,11.25,51.0746
21,11.5,48.4618
21.5,11.75,43.2589
22,12,46.417
22.5,12.25,45.849
23,12.5,43.1907
23.5,12.75,41.4413
24,13,32.7168
24.5,13.25,25.5146
25,13.5,23.3562
25.5,13.75,22.879
26,14,23.1971
26.5,14.25,23.4243
27,14.5,23.6288
27.5,14.75,22.9245
28,15,23.4243
28.5,15.25,23.4016
29,15.5,23.1744
29.5,15.75,23.1971
30,16,23.3334
30.5,16.25,23.6288
31,16.5,23.3789
31.5,16.75,23.1517
32,17,23.4016
32.5,17.25,23.2653
33,17.5,23.3789
33.5,17.75,23.447
34,18,23.3334
34.5,18.25,23.5834
35,18.5,23.129
35.5,18.75,23.1971
36,19,23.4016
36.5,19.25,23.129
37,19.5,23.1971
37.5,19.75,23.1517
38,20,23.6061
38.5,20.25,22.9245
39,20.5,23.1971
39.5,20.75,23.1744
40,21,23.288
40.5,21.25,23.129
41,21.5,23.1517
41.5,21.75,23.0381
42,22,22.8336
42.5,22.25,22.6518
43,22.5,22.3338
43.5,22.75,21.8339
44,23,20.5843
44.5,23.25,19.5846
45,23.5,18.2896
45.5,23.75,16.3357
46,24,12.4278
46.5,24.25,9.72416
47,24.5,16.9491
47.5,24.75,17.1082
48,25,17.3354
48.5,25.25,17.2899
49,25.5,17.1536
49.5,25.75,17.1536
50,26,17.1536
50.5,26.25,17.2672
51,26.5,17.1309
51.5,26.75,17.2899
52,27,17.3126
52.5,27.25,17.1763
53,27.5,17.1763
53.5,27.75,17.2672
54,28,17.1082
54.5,28.25,17.0854
55,28.5,17.1309
55.5,28.75,16.881
56,29,17.0627
56.5,29.25,17.1309
57,29.5,16.881
57.5,29.75,16.3357
58,30,15.9949
58.5,30.25,16.1994
59,30.5,15.1542
59.5,30.75,14.1546
60,31,13.8138
60.5,31.25,11.7462
61,31.5,10.3603
61.5,31.75,8.9744
62,32,6.63424
62.5,32.25,10.8602
63,32.5,11.4054
63.5,32.75,11.3146
64,33,11.2464
64.5,33.25,11.4054
65,33.5,11.2691
65.5,33.75,11.2464
66,34,11.3827
66.5,34.25,11.2691
67,34.5,11.2464
67.5,34.75,11.4054
68,35,11.2464
68.5,35.25,11.4054
69,35.5,11.2237
69.5,35.75,11.2464
70,36,11.1555
70.5,36.25,11.1328
71,36.5,11.2464
71.5,36.75,11.0874
72,37,11.1101
72.5,37.25,10.6102
73,37.5,10.6102
73.5,37.75,10.1331
74,38,9.81504
74.5,38.25,9.86048
75,38.5,9.47424
75.5,38.75,8.42912
76,39,7.952
76.5,39.25,6.90688
77,39.5,5.99808
77.5,39.75,5.112
78,40,4.47584
78.5,40.25,5.43008
79,40.5,4.90752
79.5,40.75,5.38464
