time_s,distance_m,throughput_mbps
1,1.5,58.1178
1.5,1.75,59.3901
2,2,59.5037
2.5,2.25,59.481
3,2.5,59.5491
3.5,2.75,59.4128
4,3,59.5264
4.5,3.25,59.5037
5,3.5,59.5037
5.5,3.75,59.5264
6,4,59.5264
6.5,4.25,59.481
7,4.5,59.481
7.5,4.75,59.4355
8,5,59.4355
8.5,5.25,59.481
9,5.5,59.5037
9.5,5.75,59.481
10,6,59.4582
10.5,6.25,59.4355
11,6.5,59.5264
11.5,6.75,59.5037
12,7,59.481
12.5,7.25,59.481
13,7.5,59.5037
13.5,7.75,59.481
14,8,59.4582
14.5,8.25,59.481
15,8.5,59.4582
15.5,8.75,59.5037
16,9,59.481
16.5,9.25,59.5264
17,9.5,59.4582
17.5,9.75,59.1856
18,10,58.7312
18.5,10.25,56.5728
19,10.5,54.2099
19.5,10.75,53.0966
20,11,52.256
20.5,11.25,51.6653
21,11.5,47.871
21.5,11.75,47.4848
22,12,47.1667
22.5,12.25,46.2125
23,12.5,44.4176
23.5,12.75,39.5101
24,13,35.6704
24.5,13.25,35.6931
25,13.5,35.6477
25.5,13.75,35.6477
26,14,35.6704
26.5,14.25,35.7158
27,14.5,35.6477
27.5,14.75,35.6931
28,15,35.7158
28.5,15.25,35.7158
29,15.5,35.6931
29.5,15.75,35.6704
30,16,35.6704
30.5,16.25,35.625
31,16.5,35.6022
31.5,16.75,35.6022
32,17,35.6022
32.5,17.25,35.375
33,17.5,34.6934
33.5,17.75,34.2163
34,18,33.3757
34.5,18.25,30.9674
35,18.5,25.969
35.5,18.75,23.7197
36,19,23.7197
36.5,19.25,23.7424
37,19.5,23.7651
37.5,19.75,23.7651
38,20,23.7424
38.5,20.25,23.7197
39,20.5,23.7651
39.5,20.75,23.7651
40,21,23.697
40.5,21.25,23.7424
41,21.5,23.5379
41.5,21.75,23.6061
42,22,23.3562
42.5,22.25,23.2653
43,22.5,22.6064
43.5,22.75,22.2656
44,23,21.1978
44.5,23.25,19.3802
45,23.5,17.7443
45.5,23.75,17.7443
46,24,17.7898
46.5,24.25,17.767
47,24.5,17.7443
47.5,24.75,17.767
48,25,17.7443
48.5,25.25,17.6989
49,25.5,17.767
49.5,25.75,17.7216
50,26,17.7898
50.5,26.25,17.7216
51,26.5,17.767
51.5,26.75,17.7216
52,27,17.767
52.5,27.25,17.7216
53,27.5,17.7216
53.5,27.75,17.6989
54,28,17.6534
54.5,28.25,17.6989
55,28.5,17.6534
55.5,28.75,17.6534
56,29,17.5626
56.5,29.25,17.3581
57,29.5,17.2899
57.5,29.75,17.0854
58,30,16.7219
58.5,30.25,16.2675
59,30.5,15.8586
59.5,30.75,15.4269
60,31,13.3139
60.5,31.25,11.8144
61,31.5,11.8144
61.5,31.75,11.8144
62,32,11.7917
62.5,32.25,11.8144
63,32.5,11.8144
63.5,32.75,11.8144
64,33,11.8144
64.5,33.25,11.7917
65,33.5,11.8144
65.5,33.75,11.8144
66,34,11.8144
66.5,34.25,11.7462
67,34.5,11.8144
67.5,34.75,11.7917
68,35,11.8144
68.5,35.25,11.7008
69,35.5,11.7917
69.5,35.75,11.6781
70,36,11.7462
70.5,36.25,11.6099
71,36.5,11.6554
71.5,36.75,11.519
72,37,11.4282
72.5,37.25,11.2464
73,37.5,11.0874
73.5,37.75,10.633
74,38,10.6102
74.5,38.25,9.86048
75,38.5,9.56512
75.5,38.75,8.45184
76,39,7.54304
76.5,39.25,6.29344
77,39.5,5.81632
77.5,39.75,5.7936
78,40,5.81632
78.5,40.25,5.7936
79,40.5,5.7936
79.5,40.75,5.81632
