time_s,distance_m,throughput_mbps
1,1.5,45.9853
1.5,1.75,58.9584
2,2,59.5491
2.5,2.25,59.5491
3,2.5,59.4355
3.5,2.75,59.5037
4,3,59.5946
4.5,3.25,59.481
5,3.5,59.5491
5.5,3.75,59.4128
6,4,59.481
6.5,4.25,59.5718
7,4.5,59.5264
7.5,4.75,59.5264
8,5,59.4582
8.5,5.25,59.5264
9,5.5,59.64
9.5,5.75,59.5491
10,6,59.5491
10.5,6.25,59.4582
11,6.5,59.5718
11.5,6.75,59.5491
12,7,59.481
12.5,7.25,59.5491
13,7.5,59.481
13.5,7.75,59.5491
14,8,59.5491
14.5,8.25,59.5264
15,8.5,59.4582
15.5,8.75,59.5264
16,9,59.4582
16.5,9.25,59.5037
17,9.5,59.3674
17.5,9.75,59.2083
18,10,58.9357
18.5,10.25,56.6637
19,10.5,53.8691
19.5,10.75,50.5747
20,11,52.8694
20.5,11.25,50.6883
21,11.5,43.736
21.5,11.75,47.1667
22,12,46.7805
22.5,12.25,45.2128
23,12.5,43.7587
23.5,12.75,40.2826
24,13,33.1939
24.5,13.25,22.4019
25,13.5,17.5398
25.5,13.75,17.2445
26,14,17.6762
26.5,14.25,31.4445
27,14.5,35.2614
27.5,14.75,35.1706
28,15,35.0342
28.5,15.25,34.8752
29,15.5,35.3523
29.5,15.75,34.8752
30,16,35.2387
30.5,16.25,34.8979
31,16.5,34.8525
31.5,16.75,35.0797
32,17,34.6253
32.5,17.25,34.9434
33,17.5,34.3526
33.5,17.75,33.7619
34,18,32.535
34.5,18.25,30.1267
35,18.5,27.991
35.5,18.75,22.72
36,19,17.6307
36.5,19.25,11.4736
37,19.5,21.3795
37.5,19.75,22.9018
38,20,23.3334
38.5,20.25,23.1517
39,20.5,23.2198
39.5,20.75,23.1744
40,21,23.2653
40.5,21.25,23.0835
41,21.5,22.9472
41.5,21.75,22.9926
42,22,22.8336
42.5,22.25,22.5155
43,22.5,22.1293
43.5,22.75,21.4704
44,23,21.5613
44.5,23.25,19.2666
45,23.5,17.7898
45.5,23.75,16.063
46,24,11.8826
46.5,24.25,8.99712
47,24.5,6.88416
47.5,24.75,17.199
48,25,17.1082
48.5,25.25,17.1536
49,25.5,17.2899
49.5,25.75,17.1309
50,26,17.3354
50.5,26.25,17.1309
51,26.5,17.2899
51.5,26.75,17.1309
52,27,17.1309
52.5,27.25,17.1082
53,27.5,17.2445
53.5,27.75,17.1309
54,28,17.2672
54.5,28.25,17.2218
55,28.5,16.9946
55.5,28.75,17.1309
56,29,16.881
56.5,29.25,16.6538
57,29.5,17.1309
57.5,29.75,16.4038
58,30,16.2902
58.5,30.25,15.5178
59,30.5,15.5632
59.5,30.75,13.9274
60,31,12.7005
60.5,31.25,12.496
61,31.5,10.2922
61.5,31.75,8.65632
62,32,11.1782
62.5,32.25,11.4282
63,32.5,11.3373
63.5,32.75,11.3146
64,33,11.2691
64.5,33.25,11.4282
65,33.5,11.2464
65.5,33.75,11.2691
66,34,11.36
66.5,34.25,11.2691
67,34.5,11.2918
67.5,34.75,11.3827
68,35,11.1782
68.5,35.25,11.2918
69,35.5,11.1555
69.5,35.75,11.1782
70,36,11.2237
70.5,36.25,11.201
71,36.5,11.1101
71.5,36.75,10.951
72,37,11.0419
72.5,37.25,10.383
73,37.5,10.383
73.5,37.75,10.6102
74,38,10.2467
74.5,38.25,9.58784
75,38.5,9.38336
75.5,38.75,8.7472
76,39,7.4976
76.5,39.25,6.79328
77,39.5,6.31616
77.5,39.75,4.58944
78,40,3.99872
78.5,40.25,5.47552
79,40.5,4.72576
79.5,40.75,5.38464
