time_s,distance_m,throughput_mbps
1,1.5,58.095
1.5,1.75,59.4128
2,2,59.5718
2.5,2.25,59.6173
3,2.5,59.4582
3.5,2.75,59.5946
4,3,59.5491
4.5,3.25,59.5037
5,3.5,59.5037
5.5,3.75,59.5037
6,4,59.5037
6.5,4.25,59.481
7,4.5,59.481
7.5,4.75,59.6627
8,5,59.481
8.5,5.25,59.5718
9,5.5,59.4582
9.5,5.75,59.5264
10,6,59.5491
10.5,6.25,59.4582
11,6.5,59.5264
11.5,6.75,59.5264
12,7,59.5718
12.5,7.25,59.5037
13,7.5,59.5264
13.5,7.75,59.5264
14,8,59.5037
14.5,8.25,59.5264
15,8.5,59.481
15.5,8.75,59.5718
16,9,59.5264
16.5,9.25,59.5491
17,9.5,59.3901
17.5,9.75,59.2992
18,10,58.5722
18.5,10.25,56.959
19,10.5,54.2554
19.5,10.75,53.233
20,11,52.5741
20.5,11.25,50.7338
21,11.5,48.5072
21.5,11.75,47.5075
22,12,47.0758
22.5,12.25,46.0989
23,12.5,44.2586
23.5,12.75,39.3738
24,13,35.7158
24.5,13.25,35.7386
25,13.5,35.6704
25.5,13.75,35.6931
26,14,35.6931
26.5,14.25,35.6477
27,14.5,35.6704
27.5,14.75,35.6704
28,15,35.6477
28.5,15.25,35.6704
29,15.5,35.6704
29.5,15.75,35.6931
30,16,35.6704
30.5,16.25,35.625
31,16.5,35.6022
31.5,16.75,35.625
32,17,35.3978
32.5,17.25,35.2842
33,17.5,34.7616
33.5,17.75,34.5117
34,18,33.671
34.5,18.25,31.081
35,18.5,26.1734
35.5,18.75,23.7651
36,19,23.7424
36.5,19.25,23.7651
37,19.5,23.7424
37.5,19.75,23.7651
38,20,23.7651
38.5,20.25,23.7424
39,20.5,23.7197
39.5,20.75,23.7197
40,21,23.7424
40.5,21.25,23.7424
41,21.5,23.7197
41.5,21.75,23.6061
42,22,23.3789
42.5,22.25,23.0835
43,22.5,22.8563
43.5,22.75,22.2202
44,23,21.1978
44.5,23.25,19.8573
45,23.5,17.7216
45.5,23.75,17.7216
46,24,17.767
46.5,24.25,17.7443
47,24.5,17.7443
47.5,24.75,17.767
48,25,17.7443
48.5,25.25,17.7443
49,25.5,17.7443
49.5,25.75,17.767
50,26,17.7443
50.5,26.25,17.7443
51,26.5,17.7443
51.5,26.75,17.767
52,27,17.767
52.5,27.25,17.6989
53,27.5,17.7443
53.5,27.75,17.6989
54,28,17.6989
54.5,28.25,17.7443
55,28.5,17.6534
55.5,28.75,17.5398
56,29,17.4717
56.5,29.25,17.449
57,29.5,17.3126
57.5,29.75,16.8355
58,30,16.8355
58.5,30.25,16.472
59,30.5,15.1997
59.5,30.75,14.8589
60,31,13.4502
60.5,31.25,11.8144
61,31.5,11.8144
61.5,31.75,11.8144
62,32,11.8144
62.5,32.25,11.8144
63,32.5,11.8144
63.5,32.75,11.7917
64,33,11.8144
64.5,33.25,11.8144
65,33.5,11.8144
65.5,33.75,11.8144
66,34,11.8144
66.5,34.25,11.7917
67,34.5,11.7917
67.5,34.75,11.769
68,35,11.7462
68.5,35.25,11.7235
69,35.5,11.7008
69.5,35.75,11.769
70,36,11.7917
70.5,36.25,11.7008
71,36.5,11.5418
71.5,36.75,11.5645
72,37,11.5418
72.5,37.25,11.2237
73,37.5,11.1782
73.5,37.75,10.8147
74,38,10.4512
74.5,38.25,9.95136
75,38.5,9.088
75.5,38.75,8.61088
76,39,7.88384
76.5,39.25,6.45248
77,39.5,5.7936
77.5,39.75,5.7936
78,40,5.81632
78.5,40.25,5.7936
79,40.5,5.81632
79.5,40.75,5.7936
