time_s,distance_m,throughput_mbps
1,1.5,57.4134
1.5,1.75,59.5264
2,2,59.1174
2.5,2.25,59.4582
3,2.5,59.5037
3.5,2.75,59.5264
4,3,59.4582
4.5,3.25,59.481
5,3.5,59.5946
5.5,3.75,59.5491
6,4,59.4355
6.5,4.25,59.481
7,4.5,59.5264
7.5,4.75,59.481
8,5,59.5264
8.5,5.25,59.4582
9,5.5,59.4582
9.5,5.75,59.5037
10,6,59.5718
10.5,6.25,59.5264
11,6.5,59.5946
11.5,6.75,59.5264
12,7,59.5264
12.5,7.25,59.5491
13,7.5,59.4355
13.5,7.75,59.5718
14,8,59.4582
14.5,8.25,59.4582
15,8.5,59.5718
15.5,8.75,59.5264
16,9,59.5491
16.5,9.25,59.5264
17,9.5,59.4355
17.5,9.75,59.3219
18,10,58.663
18.5,10.25,57.4589
19,10.5,53.7782
19.5,10.75,51.12
20,11,52.3014
20.5,11.25,51.5062
21,11.5,45.1674
21.5,11.75,46.2352
22,12,47.0077
22.5,12.25,45.7581
23,12.5,43.0317
23.5,12.75,40.8733
24,13,33.1485
24.5,13.25,25.151
25,13.5,35.3296
25.5,13.75,34.8298
26,14,35.1933
26.5,14.25,35.2614
27,14.5,35.1706
27.5,14.75,34.8525
28,15,35.1706
28.5,15.25,34.8298
29,15.5,35.057
29.5,15.75,35.2842
30,16,35.1706
30.5,16.25,34.8298
31,16.5,35.2842
31.5,16.75,34.9206
32,17,34.7389
32.5,17.25,35.0115
33,17.5,33.921
33.5,17.75,34.239
34,18,31.6035
34.5,18.25,31.6035
35,18.5,27.264
35.5,18.75,24.2422
36,19,17.0627
36.5,19.25,11.928
37,19.5,17.3354
37.5,19.75,17.1763
38,20,17.2672
38.5,20.25,17.5626
39,20.5,17.1082
39.5,20.75,17.2672
40,21,17.2218
40.5,21.25,17.3808
41,21.5,17.1536
41.5,21.75,17.1536
42,22,17.3808
42.5,22.25,17.3581
43,22.5,17.1082
43.5,22.75,17.3581
44,23,17.2672
44.5,23.25,17.199
45,23.5,17.4035
45.5,23.75,17.1536
46,24,17.3581
46.5,24.25,17.1536
47,24.5,17.2899
47.5,24.75,17.1763
48,25,17.2445
48.5,25.25,17.1309
49,25.5,17.1082
49.5,25.75,17.3354
50,26,17.2899
50.5,26.25,17.1536
51,26.5,17.2899
51.5,26.75,17.1309
52,27,17.2899
52.5,27.25,17.1082
53,27.5,17.1309
53.5,27.75,17.5171
54,28,17.0627
54.5,28.25,17.0627
55,28.5,17.1536
55.5,28.75,16.9946
56,29,17.0173
56.5,29.25,16.881
57,29.5,16.5856
57.5,29.75,16.5629
58,30,16.1994
58.5,30.25,15.5859
59,30.5,14.8134
59.5,30.75,14.6544
60,31,12.7914
60.5,31.25,12.0189
61,31.5,9.49696
61.5,31.75,8.65632
62,32,7.42944
62.5,32.25,11.2237
63,32.5,11.2918
63.5,32.75,11.2691
64,33,11.3827
64.5,33.25,11.2918
65,33.5,11.2691
65.5,33.75,11.3827
66,34,11.2691
66.5,34.25,11.2691
67,34.5,11.3827
67.5,34.75,11.2464
68,35,11.2237
68.5,35.25,11.36
69,35.5,11.2464
69.5,35.75,11.1782
70,36,11.2237
70.5,36.25,11.2237
71,36.5,11.0874
71.5,36.75,10.8602
72,37,11.1101
72.5,37.25,10.6557
73,37.5,10.4058
73.5,37.75,10.383
74,38,9.97408
74.5,38.25,10.0422
75,38.5,9.67872
75.5,38.75,8.2928
76,39,7.67936
76.5,39.25,7.08864
77,39.5,5.88448
77.5,39.75,4.79392
78,40,3.90784
78.5,40.25,4.33952
79,40.5,5.38464
79.5,40.75,5.43008
