time_s,distance_m,throughput_mbps
1,2,58.1632
1.5,3.5,59.0038
2,5,59.1629
2.5,6.5,59.5718
3,8,59.5946
3.5,9.5,59.5037
4,11,51.7789
4.5,12.5,42.1683
5,14,29.1725
5.5,15.5,35.6931
6,17,35.2614
6.5,18.5,32.1715
7,20,16.8355
7.5,21.5,17.1536
8,23,17.4035
8.5,23.5,17.4035
9,22,17.3581
9.5,20.5,17.4035
10,19,17.1536
10.5,20.5,17.5626
11,22,17.1536
11.5,23.5,17.1309
12,23,17.1309
12.5,21.5,17.3808
13,20,17.1309
13.5,18.5,17.2672
14,17,17.4035
14.5,18.5,17.5398
15,20,17.4717
15.5,21.5,17.2672
16,23,17.1309
16.5,23.5,17.2672
17,22,17.5853
17.5,20.5,17.1082
18,19,17.2672
18.5,20.5,17.1082
19,22,17.3581
19.5,23.5,17.3808
20,23,17.2672
20.5,21.5,17.2445
21,20,17.3354
21.5,18.5,17.4035
22,17,17.1309
22.5,15.5,17.6989
23,14,17.4035
23.5,12.5,17.5171
24,11,17.9034
24.5,9.5,18.4941
25,8,18.4259
25.5,6.5,51.5744
26,5,53.0512
26.5,3.5,53.0285
27,2,53.4147
27.5,0.5,53.0512
28,1,52.8922
28.5,2.5,53.4147
29,4,53.0966
29.5,5.5,53.1875
30,7,53.5965
30.5,5.5,53.2784
31,4,53.0966
31.5,2.5,52.7786
32,1,53.4829
32.5,0.5,53.5738
33,2,52.8922
33.5,3.5,53.233
34,5,53.0739
34.5,6.5,53.3466
35,8,53.2102
35.5,9.5,52.8013
36,11,53.1194
36.5,9.5,52.824
37,8,53.0739
37.5,6.5,53.1648
38,5,53.4374
38.5,6.5,53.1648
39,8,53.2557
39.5,9.5,53.392
