time_s,distance_m,throughput_mbps
1,2,58.4813
1.5,3.5,59.0493
2,5,59.2992
2.5,3.5,59.5491
3,2,59.5946
3.5,0.5,59.5037
4,1,59.5946
4.5,0.5,59.5037
5,2,59.5264
5.5,3.5,59.3901
6,5,59.481
6.5,6.5,59.481
7,8,59.5037
7.5,9.5,59.5491
8,11,53.0512
8.5,12.5,42.6227
9,14,25.0374
9.5,15.5,34.8298
10,17,34.9661
10.5,18.5,31.7626
11,20,15.2678
11.5,21.5,23.1517
12,23,22.3792
12.5,21.5,22.2883
13,20,23.3107
13.5,18.5,23.0835
14,17,23.3334
14.5,15.5,23.1517
15,14,23.2198
15.5,12.5,23.4243
16,11,24.4694
16.5,9.5,27.4003
17,8,58.5949
17.5,6.5,59.481
18,5,59.1174
18.5,6.5,59.1174
19,8,59.072
19.5,9.5,59.2765
20,11,50.1203
20.5,9.5,51.5062
21,8,59.0493
21.5,6.5,59.0493
22,5,59.231
22.5,3.5,59.3674
23,2,59.072
23.5,0.5,58.9357
24,1,59.0266
24.5,2.5,59.2538
25,4,59.0038
25.5,5.5,59.0947
26,7,59.1174
26.5,8.5,59.3901
27,10,58.6176
27.5,11.5,43.2589
28,13,31.2854
28.5,11.5,35.375
29,10,35.6704
29.5,8.5,43.7814
30,7,58.9811
30.5,8.5,59.4582
31,10,58.7994
31.5,11.5,43.4634
32,13,42.191
32.5,14.5,33.7165
33,16,35.0342
33.5,17.5,35.5568
34,19,28.2637
34.5,17.5,28.241
35,16,35.1251
35.5,14.5,34.9206
36,13,35.2842
36.5,11.5,35.1024
37,10,35.3978
37.5,8.5,35.7613
38,7,36.0112
38.5,5.5,35.9203
39,4,35.3978
39.5,2.5,36.0112
