time_s,distance_m,throughput_mbps
1,2,58.345
1.5,3.5,59.481
2,5,59.4582
2.5,3.5,59.481
3,2,59.5264
3.5,0.5,59.481
4,1,59.5491
4.5,0.5,59.4355
5,2,59.481
5.5,3.5,59.481
6,5,59.481
6.5,6.5,59.4582
7,8,59.481
7.5,9.5,59.4582
8,11,54.0736
8.5,12.5,43.0998
9,14,35.6931
9.5,15.5,35.6931
10,17,35.6704
10.5,18.5,25.1056
11,20,23.7424
11.5,21.5,23.7424
12,23,18.9939
12.5,21.5,18.8122
13,20,23.7424
13.5,18.5,23.7424
14,17,24.5149
14.5,15.5,35.8067
15,14,35.6477
15.5,12.5,35.6931
16,11,42.6909
16.5,9.5,53.801
17,8,59.5718
17.5,6.5,59.4355
18,5,59.4582
18.5,6.5,59.5264
19,8,59.481
19.5,9.5,59.4355
20,11,54.0736
20.5,9.5,53.7555
21,8,59.6173
21.5,6.5,59.481
22,5,59.481
22.5,3.5,59.481
23,2,59.5718
23.5,0.5,59.481
24,1,59.481
24.5,2.5,59.481
25,4,59.5946
25.5,5.5,59.5491
26,7,59.5264
26.5,8.5,59.5946
27,10,58.9811
27.5,11.5,50.8019
28,13,39.0784
28.5,11.5,38.7603
29,10,50.552
29.5,8.5,58.7539
30,7,59.5037
30.5,8.5,59.4355
31,10,59.0038
31.5,11.5,50.6883
32,13,38.9875
32.5,14.5,35.7158
33,16,35.6931
33.5,17.5,33.0576
34,19,23.8106
34.5,17.5,23.7424
35,16,32.6259
35.5,14.5,35.6931
36,13,35.6931
36.5,11.5,38.7376
37,10,50.5066
37.5,8.5,58.8221
38,7,59.5491
38.5,5.5,59.481
39,4,59.5946
39.5,2.5,59.5037
