time_s,distance_m,throughput_mbps
1,4,59.0266
1.5,5.5,59.4128
2,7,59.5264
2.5,5.5,59.481
3,4,59.4128
3.5,2.5,59.5264
4,1,59.5491
4.5,0.5,59.481
5,2,59.481
5.5,3.5,59.6173
6,5,59.5264
6.5,6.5,59.4582
7,8,59.4355
7.5,9.5,59.5037
8,11,54.0509
8.5,12.5,42.9862
9,14,35.6704
9.5,15.5,35.6931
10,17,35.6704
10.5,18.5,25.1056
11,20,23.7424
11.5,21.5,23.697
12,23,18.9712
12.5,23.5,17.7443
13,22,17.7443
13.5,20.5,22.7427
14,19,23.697
14.5,20.5,23.7651
15,22,22.9699
15.5,23.5,17.767
16,23,17.767
16.5,21.5,18.8122
17,20,23.697
17.5,18.5,23.7651
18,17,24.5603
18.5,18.5,25.2874
19,20,23.7197
19.5,21.5,23.7651
20,23,18.9258
20.5,23.5,17.767
21,22,17.7898
21.5,20.5,22.6973
22,19,23.7651
22.5,20.5,23.697
23,22,22.8563
23.5,23.5,17.7216
24,23,17.767
24.5,23.5,17.767
25,22,17.7443
25.5,20.5,22.7654
26,19,23.7424
26.5,20.5,23.7424
27,22,22.9472
27.5,23.5,17.767
28,23,17.7443
28.5,23.5,17.767
29,22,17.7443
29.5,20.5,22.7654
30,19,23.7424
30.5,17.5,23.7651
31,16,32.6941
31.5,14.5,35.6931
32,13,35.6704
32.5,14.5,35.6931
33,16,35.6931
33.5,17.5,33.0349
34,19,23.7424
34.5,17.5,23.7651
35,16,32.6941
35.5,14.5,35.6477
36,13,35.6931
36.5,11.5,38.6922
37,10,50.5974
37.5,8.5,58.7539
38,7,59.481
38.5,8.5,59.4582
39,10,59.0266
39.5,11.5,50.7792
