time_s,distance_m,throughput_mbps
1,4,57.936
1.5,5.5,59.481
2,7,59.481
2.5,8.5,59.5264
3,10,59.3219
3.5,11.5,52.5286
4,13,43.7133
4.5,14.5,35.6931
5,16,35.6704
5.5,17.5,35.4432
6,19,28.7408
6.5,20.5,23.7424
7,22,23.6742
7.5,23.5,21.3795
8,23,16.1085
8.5,21.5,22.7654
9,20,23.697
9.5,18.5,23.7651
10,17,32.3533
10.5,18.5,32.1942
11,20,23.7197
11.5,21.5,23.7424
12,23,22.8336
12.5,21.5,22.561
13,20,23.697
13.5,18.5,23.7424
14,17,32.6032
14.5,18.5,32.5123
15,20,23.7197
15.5,21.5,23.697
16,23,22.72
16.5,23.5,15.904
17,22,21.016
17.5,20.5,23.7424
18,19,23.7424
18.5,17.5,28.6499
19,16,35.3978
19.5,14.5,35.6931
20,13,35.6931
20.5,14.5,35.6704
21,16,35.6704
21.5,17.5,35.4205
22,19,28.6045
22.5,20.5,23.7424
23,22,23.6742
23.5,23.5,20.7206
24,23,16.2902
24.5,21.5,23.3107
25,20,23.7651
25.5,18.5,23.7878
26,17,32.785
26.5,18.5,32.6941
27,20,23.7651
27.5,21.5,23.7651
28,23,22.5382
28.5,23.5,15.8586
29,22,21.2659
29.5,20.5,23.6515
30,19,23.7651
30.5,17.5,28.7181
31,16,35.4205
31.5,14.5,35.6477
32,13,35.6477
32.5,14.5,35.7158
33,16,35.6931
33.5,17.5,35.3523
34,19,28.4909
34.5,17.5,28.4682
35,16,35.4659
35.5,14.5,35.6704
36,13,35.6931
36.5,14.5,35.6704
37,16,35.6477
37.5,17.5,35.5114
38,19,28.7181
38.5,20.5,23.7424
39,22,23.6288
39.5,23.5,21.1978
