time_s,distance_m,throughput_mbps
1,4,57.936
1.5,5.5,59.481
2,7,59.481
2.5,8.5,59.5264
3,10,58.9811
3.5,11.5,50.8019
4,13,38.9648
4.5,14.5,35.6931
5,16,35.6704
5.5,17.5,33.0576
6,19,23.7651
6.5,20.5,23.7424
7,22,22.9926
7.5,23.5,17.7443
8,23,17.7443
8.5,21.5,18.7213
9,20,23.7424
9.5,18.5,23.7651
10,17,24.6739
10.5,18.5,25.0602
11,20,23.7424
11.5,21.5,23.697
12,23,18.9939
12.5,21.5,18.7894
13,20,23.697
13.5,18.5,23.7878
14,17,24.6966
14.5,18.5,24.992
15,20,23.7424
15.5,21.5,23.697
16,23,18.9712
16.5,23.5,17.767
17,22,17.767
17.5,20.5,22.7427
18,19,23.7651
18.5,17.5,23.7424
19,16,32.5578
19.5,14.5,35.6931
20,13,35.6704
20.5,14.5,35.6931
21,16,35.6931
21.5,17.5,32.8986
22,19,23.7424
22.5,20.5,23.7424
23,22,22.9245
23.5,23.5,17.7443
24,23,17.7443
24.5,21.5,18.8122
25,20,23.7878
25.5,18.5,23.7651
26,17,24.833
26.5,18.5,25.1056
27,20,23.7651
27.5,21.5,23.7197
28,23,18.9939
28.5,23.5,17.8125
29,22,17.7216
29.5,20.5,22.7654
30,19,23.7424
30.5,17.5,23.7651
31,16,32.535
31.5,14.5,35.625
32,13,35.7386
32.5,14.5,35.6704
33,16,35.6704
33.5,17.5,33.0349
34,19,23.7424
34.5,17.5,23.7651
35,16,32.6486
35.5,14.5,35.6704
36,13,35.6704
36.5,14.5,35.6931
37,16,35.6931
37.5,17.5,33.1258
38,19,23.7651
38.5,20.5,23.7424
39,22,22.9699
39.5,23.5,17.767
