time_s,distance_m,throughput_mbps
1,2,58.8448
1.5,3.5,59.4582
2,5,59.4582
2.5,3.5,59.4355
3,2,59.5037
3.5,0.5,59.4355
4,1,59.5037
4.5,2.5,59.3901
5,4,59.5037
5.5,5.5,59.5037
6,7,59.4128
6.5,5.5,59.5491
7,4,59.5037
7.5,2.5,59.5037
8,1,59.481
8.5,0.5,59.5946
9,2,59.5264
9.5,3.5,59.5491
10,5,59.4355
10.5,6.5,59.5491
11,8,59.481
11.5,9.5,59.481
12,11,55.4141
12.5,12.5,47.2803
13,14,36.4883
13.5,15.5,35.6477
14,17,35.4659
14.5,18.5,32.3987
15,20,23.7197
15.5,21.5,23.7197
16,23,22.879
16.5,21.5,22.9245
17,20,23.7197
17.5,18.5,23.7651
18,17,32.2624
18.5,15.5,35.625
19,14,35.7158
19.5,12.5,35.9203
20,11,47.6438
20.5,12.5,47.3712
21,14,36.511
21.5,15.5,35.6704
22,17,35.6477
22.5,15.5,35.6022
23,14,35.6477
23.5,12.5,36.0794
24,11,47.1894
24.5,12.5,47.5302
25,14,36.2384
25.5,15.5,35.6704
26,17,35.6477
26.5,15.5,35.5795
27,14,35.6931
27.5,12.5,36.193
28,11,47.4166
28.5,12.5,47.4166
29,14,36.0794
29.5,15.5,35.6704
30,17,35.5114
30.5,15.5,35.6931
31,14,35.6477
31.5,12.5,36.1248
32,11,47.3485
32.5,12.5,47.4621
33,14,36.4883
33.5,15.5,35.625
34,17,35.6931
34.5,15.5,35.5795
35,14,35.7386
35.5,12.5,36.2838
36,11,47.4848
36.5,9.5,55.5731
37,8,59.4582
37.5,6.5,59.481
38,5,59.5037
38.5,6.5,59.5264
39,8,59.5718
39.5,9.5,59.5037
