time_s,distance_m,throughput_mbps
1,2,58.7539
1.5,3.5,59.4582
2,5,59.481
2.5,6.5,59.4355
3,8,59.5037
3.5,9.5,59.3901
4,11,56.073
4.5,12.5,47.5075
5,14,36.2838
5.5,15.5,35.7158
6,17,35.5568
6.5,18.5,32.4214
7,20,23.7878
7.5,21.5,23.6288
8,23,22.9699
8.5,23.5,16.4038
9,22,21.6749
9.5,20.5,23.6061
10,19,23.7424
10.5,20.5,23.7424
11,22,23.6288
11.5,23.5,21.1978
12,23,16.063
12.5,21.5,22.8336
13,20,23.7197
13.5,18.5,23.7651
14,17,32.4442
14.5,18.5,32.376
15,20,23.7424
15.5,21.5,23.7424
16,23,22.5837
16.5,23.5,16.2448
17,22,21.3341
17.5,20.5,23.4698
18,19,23.7651
18.5,20.5,23.7424
19,22,23.5606
19.5,23.5,20.6298
20,23,16.3584
20.5,21.5,22.8563
21,20,23.7651
21.5,18.5,23.7651
22,17,32.2851
22.5,15.5,35.6477
23,14,35.6477
23.5,12.5,36.1702
24,11,47.6438
24.5,9.5,56.1866
25,8,59.481
25.5,6.5,59.5491
26,5,59.4355
26.5,3.5,59.481
27,2,59.4582
27.5,0.5,59.5491
28,1,59.5037
28.5,2.5,59.481
29,4,59.481
29.5,5.5,59.5718
30,7,59.481
30.5,5.5,59.5037
31,4,59.4355
31.5,2.5,59.4582
32,1,59.5491
32.5,0.5,59.481
33,2,59.5718
33.5,3.5,59.5264
34,5,59.5946
34.5,6.5,59.481
35,8,59.5264
35.5,9.5,59.5037
36,11,55.9139
36.5,9.5,55.8685
37,8,59.5037
37.5,6.5,59.4582
38,5,59.5037
38.5,6.5,59.5264
39,8,59.6173
39.5,9.5,59.4355
