time_s,distance_m,throughput_mbps
1,2,58.345
1.5,3.5,59.481
2,5,59.4582
2.5,3.5,59.481
3,2,59.5264
3.5,0.5,59.481
4,1,59.5491
4.5,0.5,59.4355
5,2,59.481
5.5,3.5,59.481
6,5,59.481
6.5,6.5,59.4582
7,8,59.481
7.5,9.5,59.4582
8,11,55.4368
8.5,12.5,47.553
9,14,36.8973
9.5,15.5,35.6931
10,17,35.6477
10.5,18.5,32.6486
11,20,23.7424
11.5,21.5,23.7424
12,23,22.5382
12.5,21.5,22.879
13,20,23.7651
13.5,18.5,23.7424
14,17,32.0352
14.5,15.5,35.5795
15,14,35.6477
15.5,12.5,35.2842
16,11,48.439
16.5,9.5,55.9594
17,8,59.5946
17.5,6.5,59.4355
18,5,59.481
18.5,6.5,59.481
19,8,59.5264
19.5,9.5,59.4128
20,11,56.0275
20.5,9.5,55.8458
21,8,59.5718
21.5,6.5,59.5037
22,5,59.4582
22.5,3.5,59.4582
23,2,59.6173
23.5,0.5,59.4582
24,1,59.4582
24.5,2.5,59.5037
25,4,59.5491
25.5,5.5,59.5946
26,7,59.5264
26.5,8.5,59.5718
27,10,59.3446
27.5,11.5,52.8922
28,13,43.7587
28.5,11.5,43.327
29,10,52.3696
29.5,8.5,59.6173
30,7,59.4355
30.5,8.5,59.4582
31,10,59.0947
31.5,11.5,53.0966
32,13,43.6224
32.5,14.5,35.7386
33,16,35.6931
33.5,17.5,35.5795
34,19,28.7862
34.5,17.5,28.8317
35,16,35.5114
35.5,14.5,35.6931
36,13,35.6931
36.5,11.5,43.3725
37,10,52.7558
37.5,8.5,59.231
38,7,59.5946
38.5,5.5,59.481
39,4,59.5718
39.5,2.5,59.481
