run,seed,reinforce_mbps,minstrel_ht_mbps,ideal_mbps,reinforce_decisions
1,988104074,45.26726923076926,37.189733333333336,44.27574743589743,7254
2,1775551026,49.90943076923078,45.137941025641034,48.81683589743592,7224
3,1190136756,42.38765512820516,35.447864102564104,41.425253846153886,7311
4,47536117,30.300615384615387,25.82390128205127,28.478933333333345,7412
5,1426703850,35.0703576923077,28.418065384615385,33.91833589743593,7381
