algorithm,distance_m,throughput_mbps,runs
Minstrel-HT,7.250000,59.525260,20
Minstrel-HT,7.500000,59.515035,20
Minstrel-HT,7.750000,59.501400,20
Minstrel-HT,8.000000,59.505950,20
Minstrel-HT,8.250000,59.519590,20
Minstrel-HT,8.500000,59.512760,20
Minstrel-HT,8.750000,59.507085,20
Minstrel-HT,9.000000,59.491180,20
Minstrel-HT,9.250000,59.467335,20
Minstrel-HT,9.500000,59.432100,20
Minstrel-HT,9.750000,59.262850,20
Minstrel-HT,10.000000,58.707350,20
Minstrel-HT,10.250000,57.147610,20
Minstrel-HT,10.500000,53.661235,20
Minstrel-HT,10.750000,50.633790,20
Minstrel-HT,11.000000,52.536595,20
Minstrel-HT,11.250000,51.081375,20
Minstrel-HT,11.500000,45.780800,20
Minstrel-HT,11.750000,45.967100,20
Minstrel-HT,12.000000,46.688460,20
Minstrel-HT,12.250000,45.603585,20
Minstrel-HT,12.500000,43.882550,20
Minstrel-HT,12.750000,40.397300,20
Minstrel-HT,13.000000,33.410895,20
Minstrel-HT,13.250000,23.378870,20
Minstrel-HT,13.500000,25.038575,20
Minstrel-HT,13.750000,27.594580,20
Minstrel-HT,14.000000,28.603345,20
Minstrel-HT,14.250000,29.659815,20
Minstrel-HT,14.500000,29.772290,20
Minstrel-HT,14.750000,29.768880,20
Minstrel-HT,15.000000,29.846125,20
Minstrel-HT,15.250000,29.724575,20
Minstrel-HT,15.500000,29.783640,20
Minstrel-HT,15.750000,29.734800,20
Minstrel-HT,16.000000,29.745025,20
Minstrel-HT,16.250000,29.827955,20
Minstrel-HT,16.500000,29.747305,20
Minstrel-HT,16.750000,29.712075,20
Minstrel-HT,17.000000,29.696180,20
Minstrel-HT,17.250000,29.531465,20
Minstrel-HT,17.500000,29.280400,20
Minstrel-HT,17.750000,28.950960,20
Minstrel-HT,18.000000,28.177345,20
Minstrel-HT,18.250000,27.212875,20
Minstrel-HT,18.500000,25.307805,20
Minstrel-HT,18.750000,22.681370,20
Minstrel-HT,19.000000,19.181365,20
Minstrel-HT,19.250000,15.757460,20
Minstrel-HT,19.500000,19.224519,20
Minstrel-HT,19.750000,21.098920,20
Minstrel-HT,20.000000,21.125050,20
Minstrel-HT,20.250000,21.144370,20
Minstrel-HT,20.500000,21.064860,20
Minstrel-HT,20.750000,21.171630,20
Minstrel-HT,21.000000,21.122780,20
Minstrel-HT,21.250000,21.011465,20
Minstrel-HT,21.500000,21.117105,20
Minstrel-HT,21.750000,20.938750,20
Minstrel-HT,22.000000,20.914885,20
Minstrel-HT,22.250000,20.778570,20
Minstrel-HT,22.500000,20.399155,20
Minstrel-HT,22.750000,20.079935,20
Minstrel-HT,23.000000,19.501710,20
Minstrel-HT,23.250000,18.521335,20
Minstrel-HT,23.500000,17.466000,20
Minstrel-HT,23.750000,15.731325,20
Minstrel-HT,24.000000,13.614960,20
Minstrel-HT,24.250000,11.932538,20
Minstrel-HT,24.500000,14.304515,20
Minstrel-HT,24.750000,15.917636,20
Minstrel-HT,25.000000,16.256165,20
Minstrel-HT,25.250000,16.332275,20
Minstrel-HT,25.500000,16.328865,20
Minstrel-HT,25.750000,16.357265,20
Minstrel-HT,26.000000,16.344770,20
Minstrel-HT,26.250000,16.351595,20
Minstrel-HT,26.500000,16.348170,20
Minstrel-HT,26.750000,16.295925,20
Minstrel-HT,27.000000,16.368625,20
Minstrel-HT,27.250000,16.325460,20
Minstrel-HT,27.500000,16.333420,20
Minstrel-HT,27.750000,16.331135,20
Minstrel-HT,28.000000,16.337960,20
Minstrel-HT,28.250000,16.262970,20
Minstrel-HT,28.500000,16.287960,20
Minstrel-HT,28.750000,16.180050,20
Minstrel-HT,29.000000,16.159605,20
Minstrel-HT,29.250000,16.095985,20
Minstrel-HT,29.500000,15.981255,20
Minstrel-HT,29.750000,15.740410,20
Minstrel-HT,30.000000,15.447325,20
Minstrel-HT,30.250000,15.097450,20
Minstrel-HT,30.500000,14.598730,20
Minstrel-HT,30.750000,13.835340,20
Minstrel-HT,31.000000,13.020835,20
Minstrel-HT,31.250000,11.910960,20
Minstrel-HT,31.500000,10.388715,20
Minstrel-HT,31.750000,9.058461,20
