mcs,complete_windows,mean_goodput_mbps,p95_goodput_mbps,p99_goodput_mbps,maximum_goodput_mbps,scenario_mean_throughput_mbps
0,964,5.565080484213441,5.613276422288118,5.633971923825137,5.6587626637230475,5.548049230769227
1,1768,10.224128026603644,10.376267576173312,10.440639084752991,10.523331968511522,10.169537179487174
2,2442,14.152438827915354,14.438120705739408,14.571463021064487,14.733041439272894,14.048834615384623
3,3028,17.579282260114155,18.02156241869674,18.226233365978594,18.469862906792226,17.42128589743591
4,3951,22.99937126705153,23.77036488347081,24.099407036365193,24.532669914653955,22.730779487179493
5,4662,27.193179074865224,28.233703486464723,28.682812531561193,29.349758174527718,26.81571538461538
6,4993,29.15398077445212,30.3454465802605,30.86486838959289,31.638518782585447,28.72302820512822
7,5260,30.73819666030286,32.058156204494914,32.63842600041372,33.50478976924166,30.258385897435893
