mcs,complete_windows,mean_goodput_mbps,p95_goodput_mbps,p99_goodput_mbps,maximum_goodput_mbps,scenario_mean_throughput_mbps
0,1008,5.8202107553657045,5.860192117319395,5.875194525311692,5.888899890257033,5.801755897435906
1,2052,11.88379528219377,11.98184328845908,12.010345813379525,12.027512511365789,11.807996153846144
2,2572,17.897183585937185,18.03291721724255,18.065178559951356,18.0867503276167,17.75275000000002
3,3754,24.04427470951632,24.22876483323529,24.22876483323529,24.22876483323529,23.758408974359
4,3649,36.09992617448633,36.372498684435044,36.372498684435044,36.372498684435044,35.68262307692305
5,7196,48.709332745581506,48.70986348635702,48.70986348635702,48.70986348635702,47.60597307692304
6,7159,54.776062513664755,54.77738711715084,54.77738711715084,54.77738711715084,53.54084615384616
7,7138,60.86785989991228,60.87206850842369,60.87206850842369,60.87206850842369,59.49872948717953
