episode,train_seed,train_throughput_mbps,mean_window_reward,total_reward,windows,packets,partial_windows,updates,loss,return_mean,return_std,return_min,return_max,gradient_norm,parameter_norm_before,parameter_norm_after,exploration_count,action_counts,validation_throughput_mbps,validation_probability,validation_zero_fraction,validation_longest_zero_run,gamma,epsilon,learning_rate,segment_count,segment_mean_throughput_mbps
53,774067,18.403785384615382,4.5374238141979255,46308.94744770403,10206,213309,0,1,-0.32837343215942383,4.537423610687256,8.203319549560547,0.0,28.280744552612305,1.11191725730896,25.99251937866211,25.995010375976562,3010,698 742 776 914 1097 1517 1241 3222,nan,nan,nan,nan,0.99,0.3,0.0001,10206,13.455135874040096
54,774068,13.417323589743587,2.8377271195422296,30670.15470801242,10808,226436,0,1,-0.3068073093891144,2.8377270698547363,6.390709400177002,0.0,28.280683517456055,1.0093200206756592,25.995010375976562,25.997541427612305,3138,691 817 839 1062 1099 1554 1250 3497,nan,nan,nan,nan,0.99,0.3,0.0001,10808,9.233437467826416
55,774069,24.9060758974359,6.813960207425226,64841.645333858454,9516,201002,0,1,-0.3443314731121063,6.813960552215576,9.742347717285156,0.0,28.280744552612305,1.1261622905731201,25.997541427612305,26.000118255615234,2887,581 641 695 844 1035 1389 1017 3315,nan,nan,nan,nan,0.99,0.3,0.0001,9516,19.03505154701543
56,774070,26.623173333333327,8.903199681646473,82844.27303772044,9305,199600,0,1,-0.3541885316371918,8.903200149536133,133.06118774414062,0.0,12806.6103515625,1.1561145782470703,26.000118255615234,26.002742767333984,2722,600 608 661 756 971 1352 1018 3340,nan,nan,nan,nan,0.99,0.3,0.0001,9305,20.767271616071085
57,774071,20.013113846153846,4.905033376188482,49133.71932928002,10017,214073,0,1,-0.33245351910591125,4.905033111572266,8.440394401550293,0.0,28.280620574951172,1.0623043775558472,26.002742767333984,26.005399703979492,3075,629 723 722 887 1018 1386 1154 3499,nan,nan,nan,nan,0.99,0.3,0.0001,10017,14.564452759649628
58,774072,32.53649461538461,10.156101253777003,89871.3399946727,8849,188703,0,1,-0.3482843339443207,10.15610122680664,11.246505737304688,0.0,28.280744552612305,1.1073626279830933,26.005399703979492,26.00809669494629,2644,505 568 564 699 825 1217 891 3581,nan,nan,nan,nan,0.99,0.3,0.0001,8849,26.424565493115427
59,774073,36.213642564102564,12.121173169258402,102739.06378263421,8476,186257,0,1,-0.3457503914833069,12.121172904968262,15.482453346252441,0.0,966.9806518554688,1.0843819379806519,26.00809669494629,26.010826110839844,2525,445 493 561 629 674 1045 869 3761,nan,nan,nan,nan,0.99,0.3,0.0001,8476,30.749307409106613
60,774074,46.49356282051282,18.27786178806956,134890.61999595337,7380,162650,0,1,-0.49284064769744873,18.277862548828125,9.831403732299805,0.3360294699668884,28.280744552612305,1.7164692878723145,26.010826110839844,26.013614654541016,2183,392 387 393 464 598 927 687 3533,nan,nan,nan,nan,0.99,0.3,0.0001,7380,45.396716841902645
61,774075,26.27334641025641,7.616932305059101,73038.76387321172,9589,209855,0,1,-0.34092313051223755,7.616932392120361,10.657227516174316,0.0,28.280744552612305,1.0463372468948364,26.013614654541016,26.01643180847168,2878,537 606 591 752 849 1180 945 4130,nan,nan,nan,nan,0.99,0.3,0.0001,9589,20.07545781825894
62,774076,27.765876923076913,8.194711444730327,77235.15536658333,9425,209538,0,1,-0.3191409111022949,8.194711685180664,10.8624267578125,0.0,28.280651092529297,0.9655382037162781,26.01643180847168,26.01926612854004,2811,468 630 560 645 798 1182 948 4195,nan,nan,nan,nan,0.99,0.3,0.0001,9425,21.496043920108324
